date,N_q_hat0
01-Apr-1993,0
01-Jul-1993,-0.000678169734555235
01-Oct-1993,-0.00205862424682447
01-Jan-1994,-0.0029516829920783
01-Apr-1994,-0.00361848707055324
01-Jul-1994,-0.00469269541135268
01-Oct-1994,-0.00610433809425424
01-Jan-1995,-0.00666580956728728
01-Apr-1995,-0.00778335564955878
01-Jul-1995,-0.00858603936858791
01-Oct-1995,-0.0093543803323446
01-Jan-1996,-0.00999717964276133
01-Apr-1996,-0.0109417623254595
01-Jul-1996,-0.0117603132371095
01-Oct-1996,-0.012695414902291
01-Jan-1997,-0.0139245071909264
01-Apr-1997,-0.014848100841937
01-Jul-1997,-0.0158850197166535
01-Oct-1997,-0.0168864399532829
01-Jan-1998,-0.0172092009304143
01-Apr-1998,-0.0182613502949095
01-Jul-1998,-0.0197988811240526
01-Oct-1998,-0.0204906851033181
01-Jan-1999,-0.0209216724212233
01-Apr-1999,-0.0214660643205008
01-Jul-1999,-0.0222367607071078
01-Oct-1999,-0.0226634574900832
01-Jan-2000,-0.0236550398810686
01-Apr-2000,-0.0245286124819762
01-Jul-2000,-0.0253418809374955
01-Oct-2000,-0.0257052214257337
01-Jan-2001,-0.0260120729152066
01-Apr-2001,-0.0261792190512047
01-Jul-2001,-0.0263183851654238
01-Oct-2001,-0.0262905608300147
01-Jan-2002,-0.0263183851654238
01-Apr-2002,-0.0268739411697522
01-Jul-2002,-0.0277591640788197
01-Oct-2002,-0.0284201434095451
01-Jan-2003,-0.0288594079010832
01-Apr-2003,-0.0294342677114642
01-Jul-2003,-0.0299255002079423
01-Oct-2003,-0.030442525866424
01-Jan-2004,-0.031174618381934
01-Apr-2004,-0.0319575300854074
01-Jul-2004,-0.0325491261598789
01-Oct-2004,-0.0332991742461308
01-Jan-2005,-0.0342322183350378
01-Apr-2005,-0.0350544784024887
01-Jul-2005,-0.0361097596569576
01-Oct-2005,-0.0371848330162603
01-Jan-2006,-0.0381233635153715
01-Apr-2006,-0.0391861264925593
01-Jul-2006,-0.0398824727346009
01-Oct-2006,-0.0402424489184817
01-Jan-2007,-0.0409857572892568
01-Apr-2007,-0.0416749651605562
01-Jul-2007,-0.0419295373524407
01-Oct-2007,-0.0423614586185044
01-Jan-2008,-0.0426150308901663
01-Apr-2008,-0.0426657011081975
01-Jul-2008,-0.0422345340160853
01-Oct-2008,-0.0418022977316361
01-Jan-2009,-0.0407298019586827
01-Apr-2009,-0.0394443569824559
01-Jul-2009,-0.0384869872030771
01-Oct-2009,-0.0375765017050642
01-Jan-2010,-0.0371586904517119
01-Apr-2010,-0.0366874525740616
01-Jul-2010,-0.0364513550228469
01-Oct-2010,-0.0365300897447155
01-Jan-2011,-0.0369232307627439
01-Apr-2011,-0.0370279187831879
01-Jul-2011,-0.0371586904517119
01-Oct-2011,-0.0374199398243591
01-Jan-2012,-0.0378371260789787
01-Apr-2012,-0.0390827270834468
01-Jul-2012,-0.0396764377829521
01-Oct-2012,-0.0400368392823729
01-Jan-2013,-0.0409345962824909
01-Apr-2013,-0.0412413373186249
01-Jul-2013,-0.0414200206236625
01-Oct-2013,-0.0420312622160221
01-Jan-2014,-0.0427416788277297
01-Apr-2014,-0.0434996400835509
01-Jul-2014,-0.043927692928447
01-Oct-2014,-0.0445803354346936
01-Jan-2015,-0.0452305434008271
01-Apr-2015,-0.0458783349224056
01-Jul-2015,-0.0464493813162711
01-Oct-2015,-0.0473394541378283
01-Jan-2016,-0.0482740705797216
01-Apr-2016,-0.0490572476290566
01-Jul-2016,-0.0497396527744926
01-Oct-2016,-0.050322452588987
01-Jan-2017,-0.0508308088308249
01-Apr-2017,-0.0517709834915544
01-Jul-2017,-0.0521792215137508
01-Oct-2017,-0.0526343589161942
01-Jan-2018,-0.053350585983924
01-Apr-2018,-0.0541350514212609
01-Jul-2018,-0.0549632202510439
01-Oct-2018,-0.0554111552276852
01-Jan-2019,-0.0560457207256226
01-Apr-2019,-0.056981591692253
01-Jul-2019,-0.0574010998340994
01-Oct-2019,-0.0578892533204273
01-Jan-2020,-0.0586767099692064
01-Apr-2020,-0.0595526190928078
01-Jul-2020,-0.0572846710349003
01-Oct-2020,-0.0583528938353116
01-Jan-2021,-0.0599430526613615
01-Apr-2021,-0.0621768930665132
01-Jul-2021,-0.0649852535648026
01-Oct-2021,-0.0675295823114252
01-Jan-2022,-0.0702752946861286
01-Apr-2022,-0.0723172475205228
01-Jul-2022,-0.0732336937960404
01-Oct-2022,-0.0744200268554215
01-Jan-2023,-0.0755563944726049
01-Apr-2023,-0.076351642682927
01-Jul-2023,-0.0771640632039517
