DATE,Nb,Nd,Nchange,N
1993-04-01,181000.0,160000.0,21000.0,15.4995036568226
1993-07-01,191000.0,148000.0,43000.0,15.503394334564913
1993-10-01,182000.0,154000.0,28000.0,15.511314038898586
1994-01-01,185000.0,164000.0,21000.0,15.516437540872339
1994-04-01,196000.0,162000.0,34000.0,15.520263013829542
1994-07-01,201000.0,156000.0,45000.0,15.526425776146493
1994-10-01,192000.0,174000.0,18000.0,15.534524408664621
1995-01-01,197000.0,161000.0,36000.0,15.537745585875738
1995-04-01,193000.0,167000.0,26000.0,15.544156978474911
1995-07-01,193000.0,168000.0,25000.0,15.548761997147652
1995-10-01,195000.0,174000.0,21000.0,15.55316999056882
1996-01-01,204000.0,173000.0,31000.0,15.556857748105573
1996-04-01,198000.0,171000.0,27000.0,15.562276845353258
1996-07-01,205000.0,174000.0,31000.0,15.566972894907789
1996-10-01,216000.0,175000.0,41000.0,15.572337599518939
1997-01-01,211000.0,180000.0,31000.0,15.579388936804875
1997-04-01,210000.0,175000.0,35000.0,15.584687619885184
1997-07-01,207000.0,173000.0,34000.0,15.590636453138305
1997-10-01,200000.0,189000.0,11000.0,15.596381629825649
1998-01-01,222000.0,186000.0,36000.0,15.598233318858977
1998-04-01,226000.0,173000.0,53000.0,15.60426953020009
1998-07-01,209000.0,185000.0,24000.0,15.61309038930785
1998-10-01,203000.0,188000.0,15000.0,15.61705928896896
1999-01-01,213000.0,194000.0,19000.0,15.619531875847724
1999-04-01,219000.0,192000.0,27000.0,15.622655068169205
1999-07-01,209000.0,194000.0,15000.0,15.627076576049447
1999-10-01,224000.0,189000.0,35000.0,15.629524548099937
2000-01-01,227000.0,196000.0,31000.0,15.635213285663308
2000-04-01,218000.0,189000.0,29000.0,15.640224997668017
2000-07-01,222000.0,209000.0,13000.0,15.644890743083664
2000-10-01,215000.0,204000.0,11000.0,15.646975238342113
2001-01-01,220000.0,214000.0,6000.0,15.648735654536532
2001-04-01,217000.0,212000.0,5000.0,15.649694576934747
2001-07-01,218000.0,219000.0,-1000.0,15.650492977111034
2001-10-01,209000.0,208000.0,1000.0,15.65033334806306
2002-01-01,219000.0,199000.0,20000.0,15.650492977111034
2002-04-01,228000.0,196000.0,32000.0,15.653680218614946
2002-07-01,217000.0,193000.0,24000.0,15.658758769145427
2002-10-01,216000.0,200000.0,16000.0,15.662550827566978
2003-01-01,215000.0,194000.0,21000.0,15.665070901277158
2003-04-01,212000.0,194000.0,18000.0,15.66836888948015
2003-07-01,210000.0,191000.0,19000.0,15.671187105274157
2003-10-01,218000.0,191000.0,27000.0,15.674153297256364
2004-01-01,222000.0,193000.0,29000.0,15.678353334417412
2004-04-01,218000.0,196000.0,22000.0,15.682844922887416
2004-07-01,224000.0,196000.0,28000.0,15.686238927772102
2004-10-01,226000.0,191000.0,35000.0,15.690541976785681
2005-01-01,227000.0,196000.0,31000.0,15.695894879607918
2005-04-01,232000.0,192000.0,40000.0,15.7006122111565
2005-07-01,236000.0,195000.0,41000.0,15.706666392612018
2005-10-01,236000.0,200000.0,36000.0,15.712834122126488
2006-01-01,236000.0,195000.0,41000.0,15.718218501089915
2006-04-01,233000.0,206000.0,27000.0,15.724315605808915
2006-07-01,224000.0,210000.0,14000.0,15.728310566233608
2006-10-01,236000.0,207000.0,29000.0,15.730375761013251
2007-01-01,232000.0,205000.0,27000.0,15.734640144750003
2007-04-01,225000.0,215000.0,10000.0,15.738594152259807
2007-07-01,233000.0,216000.0,17000.0,15.740054641046983
2007-10-01,228000.0,218000.0,10000.0,15.742532587148279
2008-01-01,226000.0,224000.0,2000.0,15.743987339381263
2008-04-01,221000.0,238000.0,-17000.0,15.74427803604367
2008-07-01,216000.0,233000.0,-17000.0,15.74180441664732
2008-10-01,211000.0,253000.0,-42000.0,15.73932466328181
2009-01-01,197000.0,247000.0,-50000.0,15.73317172088
2009-04-01,201000.0,238000.0,-37000.0,15.725797082293886
2009-07-01,192000.0,227000.0,-35000.0,15.720304621639807
2009-10-01,202000.0,218000.0,-16000.0,15.715081137688315
2010-01-01,193000.0,211000.0,-18000.0,15.712684141413726
2010-04-01,193000.0,202000.0,-9000.0,15.709980634943426
2010-07-01,207000.0,204000.0,3000.0,15.708626135903916
2010-10-01,216000.0,201000.0,15000.0,15.709077839466383
2011-01-01,204000.0,200000.0,4000.0,15.711333301796703
2011-04-01,210000.0,205000.0,5000.0,15.711933900251038
2011-07-01,206000.0,196000.0,10000.0,15.712684141413726
2011-10-01,214000.0,198000.0,16000.0,15.714182937262182
2012-01-01,236000.0,188000.0,48000.0,15.716576347912298
2012-04-01,217000.0,194000.0,23000.0,15.723722400131864
2012-07-01,210000.0,196000.0,14000.0,15.727128537190646
2012-10-01,218000.0,183000.0,35000.0,15.729196172010377
2013-01-01,205000.0,193000.0,12000.0,15.734346632426835
2013-04-01,222000.0,215000.0,7000.0,15.736106415512632
2013-07-01,219000.0,195000.0,24000.0,15.737131527324935
2013-10-01,215000.0,187000.0,28000.0,15.740638239837056
2014-01-01,220000.0,190000.0,30000.0,15.744713922652638
2014-04-01,221000.0,204000.0,17000.0,15.749062370675501
2014-07-01,225000.0,199000.0,26000.0,15.751518123597922
2014-10-01,224000.0,198000.0,26000.0,15.755262354662657
2015-01-01,233000.0,207000.0,26000.0,15.758992618740496
2015-04-01,234000.0,211000.0,23000.0,15.762709019645525
2015-07-01,243000.0,207000.0,36000.0,15.76598513131061
2015-10-01,247000.0,209000.0,38000.0,15.771091508001698
2016-01-01,236000.0,204000.0,32000.0,15.776453432984932
2016-04-01,241000.0,213000.0,28000.0,15.780946545312945
2016-07-01,238000.0,214000.0,24000.0,15.784861525990186
2016-10-01,238000.0,217000.0,21000.0,15.78820506766106
2017-01-01,242000.0,203000.0,39000.0,15.791121524141866
2017-04-01,240000.0,223000.0,17000.0,15.796515337170206
2017-07-01,244000.0,225000.0,19000.0,15.798857412194117
2017-10-01,246000.0,216000.0,30000.0,15.801468550533691
2018-01-01,248000.0,215000.0,33000.0,15.80557756896865
2018-04-01,263000.0,228000.0,35000.0,15.810078073256118
2018-07-01,250000.0,231000.0,19000.0,15.814829305430399
2018-10-01,249000.0,222000.0,27000.0,15.817399123348928
2019-01-01,260000.0,220000.0,40000.0,15.821039646836773
2019-04-01,258000.0,240000.0,18000.0,15.826408769955245
2019-07-01,251000.0,230000.0,21000.0,15.828815502262634
2019-10-01,269000.0,235000.0,34000.0,15.831616055241515
2020-01-01,278000.0,240000.0,38000.0,15.836133720588627
2020-04-01,228000.0,326000.0,-98000.0,15.84115884084269
2020-07-01,278000.0,232000.0,46000.0,15.828147546327164
2020-10-01,287000.0,218000.0,69000.0,15.834275976501505
2021-01-01,308000.0,210000.0,98000.0,15.8433987714507
2021-04-01,351000.0,226000.0,125000.0,15.856214389825935
2021-07-01,359000.0,244000.0,115000.0,15.872326050240337
2021-10-01,380000.0,254000.0,126000.0,15.886922952135821
2022-01-01,350000.0,255000.0,95000.0,15.90267519958362
2022-04-01,365000.0,322000.0,43000.0,15.914389954536572
2022-07-01,350000.0,294000.0,56000.0,15.919647639059466
2022-10-01,343000.0,289000.0,54000.0,15.926453673676
2023-01-01,329000.0,291000.0,38000.0,15.932973054914102
2023-04-01,332000.0,293000.0,39000.0,15.937535422115202
2023-07-01,318000.0,295000.0,23000.0,15.942196307533933
