Year,Value
1974,1332.1853168280427
1975,1276.9882914789657
1976,1258.193698647862
1977,1279.3332371193535
1978,1294.731707317073
1979,1306.6974632254405
1980,1309.1799500672175
1981,1311.0373861712353
1982,1308.5258204410543
1983,1328.0897037158293
1984,1330.3408970229036
1985,1225.9972265274491
1986,1079.984325646567
1987,1064.628402955929
1988,1084.8381801125702
1989,1124.7967479674796
1990,1142.8639993018894
1991,1141.4122462902953
1992,1129.1166568146186
1993,1086.2078433167073
1994,1054.5807231214424
1995,1050.8829616448422
1996,1033.2082551594747
1997,1044.6891149073433
1998,1102.8619321502172
1999,1176.1828282754543
2000,1257.5134639005496
2001,1355.2691586087458
2002,1449.9678273650275
2003,1450.5762530152774
2004,1461.74085181191
2005,1479.020153725111
2006,1478.366286621446
2007,1511.008774423408
2008,1569.5804195804194
2009,1601.691376659284
2010,1613.6602096055258
2011,1642.1272910953962
2012,1667.1539503856575
2013,1678.1346986726517
