"Year (time)","Geographic Area Name (NAME)","2017 NAICS Code (NAICS)","Meaning of NAICS Code (NAICS_LABEL)","Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL)","Number of firms (FIRM)","Number of establishments (ESTAB)","Number of employees (EMP)","(DHS) denominator (DENOM)","Number of establishments born during the last 12 months (ESTABS_ENTRY)","Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE)","Number of establishments exited during the last 12 months (ESTABS_EXIT)","Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE)","Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION)","Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS)","Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS)","Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS)","Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE)","Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION)","Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS)","Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS)","Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS)","Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE)","Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION)","Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE)","Rate of reallocation during the last 12 months (REALLOCATION_RATE)","Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS)","Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS)","Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)"
"1978","United States","00","Total for all sectors","Total","3,558,681","4,325,832","70,237,487","67,660,725","641,120","15.115","472,404","11.138","14,231,915","4,588,138","9,643,777","6.781","21.034","9,078,286","3,566,096","5,512,190","5.271","13.417","5,153,629","7.617","26.835","326,342","331,467","1,821,380"
"1979","United States","00","Total for all sectors","Total","3,691,766","4,485,662","74,695,825","72,563,109","616,172","13.969","466,842","10.584","13,689,163","4,363,388","9,325,775","6.013","18.865","9,419,052","3,253,640","6,165,412","4.484","12.980","4,270,111","5.885","25.961","330,113","334,625","1,788,168"
"1980","United States","00","Total for all sectors","Total","3,739,254","4,550,743","75,047,757","74,847,756","578,382","12.800","514,135","11.378","11,776,418","4,059,876","7,716,542","5.424","15.734","11,378,456","3,488,995","7,889,461","4.661","15.202","397,962","0.532","30.404","369,197","374,201","1,939,210"
"1981","United States","00","Total for all sectors","Total","3,768,275","4,611,481","75,780,313","75,409,881","586,641","12.810","522,895","11.418","12,127,685","4,574,054","7,553,631","6.066","16.082","11,381,026","3,486,307","7,894,719","4.623","15.092","746,659","0.990","30.184","377,139","383,423","1,997,150"
"1982","United States","00","Total for all sectors","Total","3,741,795","4,616,851","74,964,152","75,321,132","574,911","12.458","571,114","12.375","11,842,141","4,220,283","7,621,858","5.603","15.722","12,547,122","3,858,896","8,688,226","5.123","16.658","−704,981","−0.936","31.444","406,314","412,248","2,221,116"
"1983","United States","00","Total for all sectors","Total","3,830,603","4,711,950","74,000,992","74,476,547","623,891","13.375","529,233","11.346","12,142,710","4,390,443","7,752,267","5.895","16.304","13,106,959","4,106,956","9,000,003","5.514","17.599","−964,249","−1.295","32.608","363,039","370,051","2,097,247"
"1984","United States","00","Total for all sectors","Total","4,001,185","4,903,198","78,654,868","76,247,871","698,437","14.525","509,154","10.588","14,778,148","5,110,201","9,667,947","6.702","19.382","9,959,900","3,629,223","6,330,677","4.760","13.063","4,818,248","6.319","26.125","364,744","371,117","2,067,676"
"1985","United States","00","Total for all sectors","Total","4,072,945","4,985,485","81,578,824","80,128,843","683,049","13.815","600,465","12.145","14,895,026","5,169,181","9,725,845","6.451","18.589","11,997,518","4,816,824","7,180,694","6.011","14.973","2,897,508","3.616","29.946","431,657","440,689","2,816,160"
"1986","United States","00","Total for all sectors","Total","4,157,330","5,111,669","83,659,358","82,555,437","711,203","14.089","583,703","11.563","14,961,678","5,543,518","9,418,160","6.715","18.123","12,747,316","4,371,380","8,375,936","5.295","15.441","2,214,362","2.682","30.882","414,723","422,550","2,553,227"
"1987","United States","00","Total for all sectors","Total","4,223,741","5,224,171","85,883,182","84,911,140","740,346","14.326","627,639","12.145","16,309,520","6,500,736","9,808,784","7.656","19.208","14,370,278","5,265,202","9,105,076","6.201","16.924","1,939,242","2.284","33.848","435,803","444,145","2,819,043"
"1988","United States","00","Total for all sectors","Total","4,307,924","5,358,614","88,386,748","87,197,741","738,787","13.952","611,798","11.554","16,367,812","6,249,391","10,118,421","7.167","18.771","13,995,213","5,102,042","8,893,171","5.851","16.050","2,372,599","2.721","32.100","425,385","435,338","2,790,551"
"1989","United States","00","Total for all sectors","Total","4,381,671","5,471,288","91,335,991","89,872,472","723,402","13.357","612,868","11.316","16,256,980","5,937,807","10,319,173","6.607","18.089","13,356,533","4,986,229","8,370,304","5.548","14.862","2,900,447","3.227","29.723","429,504","441,747","2,785,028"
"1990","United States","00","Total for all sectors","Total","4,445,193","5,569,383","93,672,444","92,590,197","699,980","12.679","602,832","10.919","15,495,106","5,562,315","9,932,791","6.007","16.735","13,330,163","4,565,855","8,764,308","4.931","14.397","2,164,943","2.338","28.794","433,885","444,864","2,720,575"
"1991","United States","00","Total for all sectors","Total","4,412,309","5,604,429","91,448,308","92,566,346","690,069","12.359","648,730","11.618","13,970,040","5,606,730","8,363,310","6.057","15.092","16,217,390","5,499,531","10,717,859","5.941","17.520","−2,247,350","−2.428","30.184","453,798","466,567","3,381,817"
"1992","United States","00","Total for all sectors","Total","4,413,561","5,615,231","91,433,176","91,423,752","650,448","11.601","633,985","11.307","14,682,559","5,141,825","9,540,734","5.624","16.060","14,660,508","5,116,418","9,544,090","5.596","16.036","22,051","0.024","32.072","415,346","426,543","2,694,229"
"1993","United States","00","Total for all sectors","Total","4,495,325","5,682,098","93,098,269","92,278,578","650,153","11.511","582,647","10.315","14,919,944","4,856,039","10,063,905","5.262","16.168","13,295,608","4,460,637","8,834,971","4.834","14.408","1,624,336","1.760","28.816","386,320","398,424","2,316,616"
"1994","United States","00","Total for all sectors","Total","4,575,061","5,791,195","95,644,615","94,537,999","682,056","11.881","580,719","10.116","15,281,206","5,368,275","9,912,931","5.678","16.164","13,065,723","4,527,679","8,538,044","4.789","13.821","2,215,483","2.343","27.641","398,829","410,734","2,473,855"
"1995","United States","00","Total for all sectors","Total","4,673,781","5,921,697","99,007,883","97,274,231","706,268","12.061","574,744","9.815","16,018,996","5,679,421","10,339,575","5.839","16.468","12,546,167","4,316,617","8,229,550","4.438","12.898","3,472,829","3.570","25.795","398,626","411,668","2,465,275"
"1996","United States","00","Total for all sectors","Total","4,721,280","5,999,130","100,035,606","99,131,138","701,257","11.789","599,353","10.076","15,731,123","5,759,547","9,971,576","5.810","15.869","13,928,245","4,652,430","9,275,815","4.693","14.050","1,802,878","1.819","28.101","416,571","429,214","2,630,186"
"1997","United States","00","Total for all sectors","Total","4,776,188","6,075,310","103,096,971","101,735,147","736,945","12.205","662,364","10.970","18,186,371","6,431,587","11,754,784","6.322","17.876","15,443,548","5,773,198","9,670,350","5.675","15.180","2,742,823","2.696","30.360","434,202","449,149","2,913,273"
