severity,parameter,warning
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa,R-hat 1.018 > 1.01
warning,kappa,bulk ESS 40.0 < 400
warning,kappa,tail ESS 40.0 < 400
warning,phi_1,R-hat 1.027 > 1.01
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,lambda_ez,bulk ESS 23.4 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,bulk ESS 22.8 < 400
warning,rho,tail ESS 24.2 < 400
warning,sigma_e,bulk ESS 22.0 < 400
warning,sigma_e,tail ESS 21.7 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
