parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6113126851412227,0.05245116048288505,0.5045680338504107,0.7108656847796646,,,,,
kappa,0.010693361152865495,0.1150742233110657,-0.2121243092561632,0.2456773746926854,,,,,
theta,0.0073930306203668075,0.003838097597496358,-9.454606924075737e-05,0.015162867701063152,,,,,
phi_1,0.6647604644829829,0.06607520458641353,0.5329536160254711,0.7915359959677118,,,,,
rho_1,1.8718076090802998,0.041307134106198344,1.7834788179075776,1.94667305782554,,,,,
rho_2,-0.875596595678346,0.04131913637675904,-0.9501540759691874,-0.7866192485681257,,,,,
n,-0.04227250627670834,0.06422570569113743,-0.16926058156931295,0.0840914082042549,,,,,
sigma_e,0.6406267941625022,0.040839399554053885,0.5663684509836141,0.7267047692460663,,,,,
sigma_zeta,0.4885502327873335,0.030534554911557345,0.4340386982826494,0.5525397823752312,,,,,
sigma_u,0.4107054028021805,0.042303900624350965,0.33735308398010666,0.4994055876003251,,,,,
sigma_eps,0.24334796250668111,0.03242532325172823,0.18656306629963168,0.3123898254830633,,,,,
sigma_N,0.28318677867303843,0.02536351892181808,0.23785731041846503,0.33739685516340057,,,,,
