parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6406426922049517,0.052262822153245694,0.5380810292707704,0.7436099073867395,0.0009238848987126638,3200.0,3095.3383057381734,0.9999363923789684,
kappa,-0.014152004273506314,0.11481864420828107,-0.23659662013356178,0.21170031131303838,0.0023788976548452033,2329.556844743883,2570.4958455584797,1.0006161886425597,
theta,0.04743561322999775,0.13085996734501557,-0.20067134004320947,0.347555859540636,0.0064763409989166245,408.2763278728973,225.6134350073364,0.9996877056925135,tail ESS < 400
phi_1,0.664579566697401,0.06882974745967314,0.5302418534584398,0.7975596225280033,0.0012167495294023104,3200.0,3200.0,0.9998574853698984,
rho_1,0.3345496550607654,0.189613169416918,0.06689099700671518,0.9264015810750434,0.025439090163405512,55.55636800599271,51.49551305211983,1.0881938507718196,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.702968993093991,0.27264236502838257,-0.9552886803152243,-0.03328952451699376,0.04038481910230446,45.57748922063062,73.59036311398386,1.2493605242608727,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.029398468944568545,0.017486060752444233,-0.06246813531003872,0.006060936681592342,0.0008343603425545867,439.21448903091084,922.8392127922197,1.0177346796567335,R-hat > 1.01
sigma_e,0.6603920554021039,0.04257706035808747,0.5829173135347877,0.7500244293436517,0.0007533232654188007,3194.394768076562,3011.986711771668,1.000410128621009,
sigma_zeta,0.5042432624485085,0.03128194311455487,0.4465455035971626,0.5701478559656594,0.0005581326683720951,3141.322735044968,2999.6983343153406,1.0000179148322577,
sigma_u,0.10978142097244913,0.03364609501333193,0.06397487945453832,0.19388199421130115,0.002215200548417713,230.69768340063075,378.6129884026493,1.0036662975202664,bulk ESS < 400; tail ESS < 400
sigma_eps,0.16068663503953734,0.038993739847768605,0.08493201530304217,0.23992421513702733,0.0033873410024024293,132.51710559911228,240.14191946618593,1.0710286396153512,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.06992721743638901,0.021595756233532347,0.040165776099418904,0.12458347978877586,0.0005543586290426344,1517.5926312712454,1808.0411659038505,1.0099279221552413,
