parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6120667771949155,0.057265249289432454,0.49761536856298977,0.7221001138126084,,,,,
kappa,0.09300914388880667,0.07103276307030115,0.003505988338471268,0.2627984427125019,,,,,
theta,-0.0011101978957659252,0.2807204248546136,-0.3625915964175353,0.6056871417042949,,,,,
phi_1,0.663589197774637,0.0644195155319635,0.5368471835046527,0.7890605351795272,,,,,
rho_1,0.8993550668855481,0.12738256508135143,0.6089257209792824,1.1123986318741286,,,,,
rho_2,0.01444387034201819,0.10460043745585422,-0.19142302376702883,0.22902323288075596,,,,,
n,-0.03267756970877089,0.026559118452590603,-0.08059626446125903,0.02151519314925363,,,,,
sigma_e,0.6212564754987239,0.043681937497332395,0.5427257353586564,0.7123940778808703,,,,,
sigma_zeta,0.48938723169921877,0.03090988963221552,0.4346437295831009,0.5514901658091688,,,,,
sigma_u,0.1925672093832743,0.020114001094002937,0.1562112354250889,0.2355811247435982,,,,,
sigma_eps,0.20541893368152908,0.02288000497764361,0.1643446541477104,0.2530663556013222,,,,,
sigma_N,0.2508595585297267,0.020239179350371263,0.21537141369851762,0.29475635103818637,,,,,
