parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6170315114985798,0.05337393519395915,0.5090117836440209,0.7192368553193073,,,,,
kappa,-0.003993475814283979,0.0816833908272902,-0.16293731950119986,0.15574399801385483,,,,,
theta,-0.016612983597662122,0.2703258207310814,-0.3801808294012493,0.5618608430223654,,,,,
phi_1,0.6321417499538539,0.06408833441643186,0.5046779144632443,0.7529828091243339,,,,,
rho_1,0.8994201236934077,0.12499197262160736,0.6120054272328602,1.112291316965375,,,,,
rho_2,0.014691933541538782,0.10589848384088828,-0.17926031711546067,0.24499345262526406,,,,,
n,-0.03326944937545754,0.026643608991944193,-0.08014088002961661,0.02119889513834586,,,,,
sigma_e,0.6245412726923862,0.0433056256577566,0.5460932311019023,0.713930005574872,,,,,
sigma_zeta,0.8373003860589131,0.053027383366894304,0.7426838818610652,0.9492370250815432,,,,,
sigma_u,0.19225275586609186,0.0201234591493786,0.15728018508482303,0.23747547382321715,,,,,
sigma_eps,0.2054271562184809,0.022544391799692077,0.16554039853579183,0.25276342714482125,,,,,
sigma_N,0.25059033172044926,0.020159763628522547,0.2152868186140294,0.29403363712048314,,,,,
