severity,parameter,warning
warning,alpha,R-hat 1.129 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa,bulk ESS 22.7 < 400
warning,kappa,tail ESS 40.0 < 400
warning,theta,bulk ESS 27.3 < 400
warning,theta,tail ESS 24.2 < 400
warning,phi_1,bulk ESS 24.4 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.071 > 1.01
warning,rho_1,bulk ESS 8.3 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,R-hat 3.996 > 1.01
warning,rho_2,bulk ESS 16.7 < 400
warning,rho_2,tail ESS 20.4 < 400
warning,n,R-hat 1.065 > 1.01
warning,n,bulk ESS 40.0 < 400
warning,n,tail ESS 40.0 < 400
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 24.2 < 400
warning,sigma_zeta,bulk ESS 35.8 < 400
warning,sigma_zeta,tail ESS 23.3 < 400
warning,sigma_u,bulk ESS 8.9 < 400
warning,sigma_u,tail ESS 24.2 < 400
warning,sigma_eps,bulk ESS 13.9 < 400
warning,sigma_eps,tail ESS 23.3 < 400
warning,sigma_N,bulk ESS 23.9 < 400
warning,sigma_N,tail ESS 40.0 < 400
