parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6612388993407192,0.05655433816601543,0.5510082577369702,0.7566386911430358,0.008942026008399927,40.0,40.0,1.1290846209554766,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa,-0.019461515015624032,0.06313423624781679,-0.10812787062743177,0.1040024875352982,0.013256291962806251,22.682229527390152,40.0,1.00600786811698,bulk ESS < 400; tail ESS < 400
theta,0.1407345926010176,0.2092721877289178,-0.20740813441746922,0.500621954248341,0.040034544961506165,27.3245636680957,24.20762878489972,0.9924723919152719,bulk ESS < 400; tail ESS < 400
phi_1,0.6315840987813313,0.0693665496176338,0.5112752588531547,0.7481779673972042,0.014047846148592896,24.38263856157481,40.0,0.9850775602967721,bulk ESS < 400; tail ESS < 400
rho_1,0.5156715028012193,0.15758007111934835,0.2580653939819933,0.7614333381759625,0.05459352512860328,8.33144455922989,40.0,1.0708294982764783,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.3213002201046306,0.23507323738106092,-0.6378823001094265,0.020642581625869794,0.05751857568628574,16.70283266925581,20.431463657484233,3.996241007317428,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.01992712287040804,0.016714146878620186,-0.046044846990748595,0.01477866812131976,0.002642738664151683,40.0,40.0,1.0647915113331823,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6583469433623386,0.04045014620564845,0.5792332492826036,0.7269857149415058,0.006395729684833341,40.0,24.207628784899725,0.9886953535910633,bulk ESS < 400; tail ESS < 400
sigma_zeta,0.8342230571651083,0.04958230559949372,0.7599798353325457,0.9258499848664099,0.008284714461267193,35.81775373225653,23.291713961407492,0.9825907401235526,bulk ESS < 400; tail ESS < 400
sigma_u,0.09087151424004894,0.020181816390504616,0.06716399224374904,0.1314861692492235,0.006752963858141594,8.931649063586034,24.207628784899725,1.0065792107940157,bulk ESS < 400; tail ESS < 400
sigma_eps,0.1876860320094283,0.02654352924961201,0.15543449659975453,0.245609198937873,0.0071067710678211745,13.949950988777681,23.291713961407492,1.0067618615812033,bulk ESS < 400; tail ESS < 400
sigma_N,0.07360335567105601,0.015904428134693956,0.04411654940035811,0.09599933675166124,0.0032561458180153193,23.857691876862784,40.0,0.9807516809567517,bulk ESS < 400; tail ESS < 400
