parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6095423735710661,0.05291384251337337,0.5046340112896113,0.7145104161493261,0.0013971445292835416,1434.352622233702,1863.4080394756677,0.9997066889819872,
kappa,0.06433099512837182,0.049462680957597566,0.0021097540392582444,0.18402471501043374,0.0009547462363038181,2683.980734848803,2826.000702992424,0.9999246470353438,
theta,-0.05983697103457338,0.24579245138326045,-0.3802116209055078,0.5407398677258016,0.016508296680856953,221.68308239675915,938.1662736009908,1.0049969287975324,bulk ESS < 400
phi_1,0.6303915496638691,0.06608406653286589,0.5028616551880166,0.7625790702500093,0.0011685482778080241,3198.1600956752604,3120.0921345098745,0.999794731215771,
rho_1,0.9054396081030132,0.12342141844333739,0.6339263117906352,1.121024544717124,0.0033008106755409686,1398.1051522537848,1829.8774940788708,0.9997333723990663,
rho_2,0.011170420305628608,0.10538995682753026,-0.19457827067824957,0.2312320682760871,0.002305135836868241,2090.2845382277633,2389.2801130369544,0.9997178266089366,
n,-0.03568724549200419,0.02596781253629596,-0.08222255853358997,0.019021571695828413,0.0012834077189835444,409.39396901666504,902.0374105093441,1.0023660751846806,
sigma_e,0.624005541257932,0.04262280534740176,0.5445221033257408,0.712212299731058,0.0008585042005358161,2464.8994762305033,3162.802655781089,0.9996968423667668,
sigma_zeta,0.8394031809006388,0.05274562795689283,0.7412243055155842,0.950376277827701,0.0009324197801565416,3200.0,3043.7914141345614,0.9999073849918287,
sigma_u,0.19179393027211297,0.020253749494739896,0.1568515497118744,0.2376044956362047,0.0004291288657447224,2227.5907759665706,2697.1950541401065,1.0000563159500533,
sigma_eps,0.20420970457435444,0.022768663762761324,0.16419408838559818,0.2528552789069827,0.0006409823259521296,1261.7780785153748,2063.1991138610506,0.9998295093134594,
sigma_N,0.25056668009847466,0.020195654173759837,0.21323172752313704,0.2921234541169917,0.0003889850454582555,2695.5664371156713,2864.3792237656835,0.9997238288334307,
