parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6361633211526591,0.0635179491301241,0.5108449071466759,0.7582670043382962,0.0036961454802716936,295.32133353684907,2006.45419354879,0.9997839477442354,bulk ESS < 400
kappa,0.08384231578978549,0.04869824061988239,-0.009354839737505578,0.18069738589040785,0.0029834500114452175,266.43361133892,1474.2516717113044,1.0003977700680995,bulk ESS < 400
theta,0.1174316625776305,0.31487705365438734,-0.3556000636837082,0.6461935491018013,0.03882421268887997,65.7774012184498,946.37322761544,0.9998816486279306,bulk ESS < 400
phi_1,0.9162614778641114,0.03180546725523876,0.855119985045892,0.9786184555490919,0.0005982894673861007,2826.0565354184505,2896.490456224628,0.9998683531189355,
rho_1,0.9121291683784734,0.11577184467672298,0.66384130644145,1.1180470693652076,0.003621869007943466,1021.7400762195597,1128.5247212855252,1.001266250604576,
rho_2,0.01728476953417654,0.10159449556737425,-0.17708448295205242,0.23547261500624533,0.002046185117928475,2465.190658086853,2861.7566290479467,0.9997418598991659,
n,-0.02502397212579696,0.027639196893407405,-0.07929023385893491,0.025192031410619747,0.002564259293839392,116.17882046588217,749.9113730066888,1.0004156793580488,bulk ESS < 400
sigma_e,0.6024212354221844,0.0437449611806468,0.5206913124588214,0.6888374779642985,0.00199188656538773,482.3106658592537,2237.5114426621108,1.0014325283635674,
sigma_zeta,0.55714822732117,0.03479629639610582,0.4939737833780641,0.6306246826549778,0.0006151174285465862,3200.0,2897.130412757808,0.9996887861951987,
sigma_u,0.19526690237585284,0.021227164408955175,0.15742895267578694,0.23944694258958066,0.0005117013115925085,1720.881266695664,2673.1938697251567,0.9996958461215912,
sigma_eps,0.20825333941155924,0.02308017168277829,0.16715947491978328,0.2580348585744814,0.0007577174965875574,927.8193775865512,2271.946851664922,1.0016276842460892,
sigma_N,0.2511559689480517,0.02010954022698467,0.21614473075397514,0.2943395709633271,0.00036765410726407905,2991.750955116245,3200.0,1.0001587256516342,
