parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6625508363930928,0.07124810796697223,0.5305187731095394,0.7873350498262187,0.011942273643157569,35.593658980598285,23.291713961407492,0.9753404988573957,bulk ESS < 400; tail ESS < 400
kappa,0.06997957125005522,0.04234007136061721,-0.018328057099067038,0.14233281410078816,0.007827051012529384,29.26219113047081,40.0,0.980454865266641,bulk ESS < 400; tail ESS < 400
theta,-0.027726098250621313,0.1768694253517726,-0.3104597597705588,0.3454305687797935,0.027965511627836465,40.0,40.0,1.430658367400548,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.913732263192745,0.03365483398214785,0.8539796733942829,0.9595804426229531,0.007202876620192906,21.83146870297664,22.524698133918772,0.9849418108279917,bulk ESS < 400; tail ESS < 400
rho_1,0.7247215384624293,0.24487244662557567,0.35254556579491997,1.0992081196308754,0.07043382818199585,12.086964701473667,24.207628784899725,2.5689425489008966,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.17611244884224944,0.22051451544519213,-0.5070222711489045,0.23250137507682384,0.0748228703030353,8.685716222337946,19.83886561392201,2.6453143279032205,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.034392216161310975,0.02320568882061791,-0.06645729382072701,0.01134145201851446,0.0036691415673129556,40.0,40.0,1.9265332786543172,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6470320724394962,0.04438660389316761,0.5604691414925309,0.7167934081271067,0.007018138295105337,40.0,40.0,1.0982104586976489,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5616979158212032,0.03332844587584922,0.5015730097794631,0.6183540152001222,0.0052696899920664465,40.0,40.0,0.9979832353252545,bulk ESS < 400; tail ESS < 400
sigma_u,0.11129705929267084,0.04639117027179331,0.06854665210560697,0.2453027065394326,0.01850852085361315,6.282423822771309,24.207628784899725,1.2372253226862748,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.1482129860916593,0.05313776175456629,0.06748844929325781,0.23089293854994733,0.020234742143256764,6.896220921544321,22.524698133918772,2.1089868720627876,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.07325194806182726,0.023121528248600306,0.04222872847908115,0.1281156857289667,0.0061147276249744345,14.298116747419533,23.291713961407492,0.9974592070685061,bulk ESS < 400; tail ESS < 400
