parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6330664932351812,0.06199521019783319,0.5138017291771421,0.7537018248058611,,,,,
kappa,0.09138937177281271,0.04495246078532494,0.012548715495504698,0.18746349682957367,,,,,
theta,0.17575215837866787,0.30838904347900914,-0.3348687922068999,0.6575536903365725,,,,,
phi_1,0.9149245134816408,0.03215616856588027,0.8518568914450244,0.9775368193384296,,,,,
rho_1,0.9159729739490934,0.1165425210955902,0.6689290028868873,1.1213093750907903,,,,,
rho_2,0.01554952280775204,0.10290387962923742,-0.17620135882443938,0.23545716115523177,,,,,
n,-0.022043578936222313,0.02728073778461718,-0.0762352720373163,0.027024706993890237,,,,,
sigma_e,0.6000113860429931,0.04395224907331707,0.5169096760915647,0.6936631607887467,,,,,
sigma_zeta,0.5568783644302279,0.03639378602251044,0.4922457192406363,0.633989955519657,,,,,
sigma_u,0.19548942756962923,0.021155667760221993,0.15849804156335318,0.24018551971962074,,,,,
sigma_eps,0.20915554874152384,0.02255144108850652,0.16861130979908306,0.25674387732414844,,,,,
sigma_N,0.2517433402340389,0.019832254626804897,0.216680813320163,0.29321088848881116,,,,,
