parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6366978265598194,0.05902424331187275,0.5185880548953778,0.7499055842570262,,,,,
kappa,0.14351527354059995,0.049073105312541464,0.047020478492649884,0.23870481064113366,,,,,
theta,0.16842315864174243,0.22337861083207355,-0.21630945041690194,0.5923692460169807,,,,,
phi_1,0.8972509706286981,0.03543373179291866,0.8272584724839376,0.9666335237893953,,,,,
rho_1,0.8784549723504175,0.14780639144698018,0.5069924476227745,1.1161079324297445,,,,,
rho_2,0.004665815849179858,0.10678874794026141,-0.20181855049362374,0.2157026490594046,,,,,
n,-0.020696337657670812,0.023908702445724548,-0.06995572303412365,0.02497247038574399,,,,,
sigma_e,0.5907641869051473,0.04103013183974839,0.5149360427563846,0.672340576398532,,,,,
sigma_zeta,0.5479798373669493,0.03454805829261706,0.4875082815047275,0.6211258288738692,,,,,
sigma_u,0.1951424524593279,0.020952383883172037,0.1582951005324689,0.23990078166336617,,,,,
sigma_eps,0.20590822543735546,0.02240166829598053,0.16606718149490554,0.25292975635436515,,,,,
sigma_N,0.2517181587329948,0.020464109082144813,0.21604524719060844,0.29564184336127536,,,,,
