severity,parameter,warning
warning,alpha,R-hat 1.182 > 1.01
warning,alpha,bulk ESS 37.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa,bulk ESS 30.7 < 400
warning,kappa,tail ESS 40.0 < 400
warning,theta,bulk ESS 40.0 < 400
warning,theta,tail ESS 40.0 < 400
warning,phi_1,bulk ESS 23.2 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.652 > 1.01
warning,rho_1,bulk ESS 11.8 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,R-hat 1.573 > 1.01
warning,rho_2,bulk ESS 9.8 < 400
warning,rho_2,tail ESS 19.8 < 400
warning,n,R-hat 1.027 > 1.01
warning,n,bulk ESS 22.9 < 400
warning,n,tail ESS 40.0 < 400
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,R-hat 1.056 > 1.01
warning,sigma_u,bulk ESS 6.2 < 400
warning,sigma_u,tail ESS 21.7 < 400
warning,sigma_eps,bulk ESS 7.6 < 400
warning,sigma_eps,tail ESS 19.8 < 400
warning,sigma_N,bulk ESS 17.4 < 400
warning,sigma_N,tail ESS 23.3 < 400
