parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6683461376204172,0.051980822481645005,0.5673473639035613,0.7685342359784744,0.0009299017554918575,3124.7275663417095,3200.0,1.0002189303189435,
kappa,0.14255651335210798,0.044875887958388136,0.05516624785484481,0.22968971812854913,0.0008052797799691443,3105.507063007485,3200.0,0.9998530187031256,
theta,0.053579356334266165,0.11728274881634607,-0.1572220472216758,0.32836801870852433,0.00306369744254552,1465.468623267988,611.210648961868,1.0009765335333514,
phi_1,0.8980628250477425,0.03536441020601127,0.8262607763644862,0.9662471477670421,0.0006290125642001041,3160.925050451127,3082.429560084828,0.9999289990579435,
rho_1,0.2956538428578608,0.14461031087182616,0.016394941003783806,0.6583399686308744,0.013806947042154159,109.69913454989484,188.44910256408303,1.0163342773628992,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.7570520239493115,0.21527139035961484,-0.9572489381291639,-0.19982756829712586,0.03241890078967897,44.09365104663697,141.2433375072287,1.0030102563206953,bulk ESS < 400; tail ESS < 400
n,-0.030422715871585654,0.016773126579487478,-0.06157063186529439,0.005607901815841122,0.0010727684847435216,244.4646316880764,541.926566779087,1.0014199186859245,bulk ESS < 400
sigma_e,0.6234482314688491,0.03991313344949049,0.549457715922123,0.7072594627826178,0.0007109780669911527,3151.514006316763,3200.0,0.9997083278967945,
sigma_zeta,0.5615611981821925,0.036010590101305244,0.49828673586985833,0.6370251244159083,0.0006654420470987368,2928.4647328508236,2332.8697303184376,0.9998418848280995,
sigma_u,0.11030908402817204,0.03381625925455313,0.06411861769465682,0.1913656873503262,0.0020882104734766885,262.24220594459445,441.24281368303343,1.0002009706670656,bulk ESS < 400
sigma_eps,0.15850049580213132,0.04024775861010481,0.08485411040197342,0.24476472965489282,0.004666185226778855,74.39768987926934,229.90998673508577,1.0036089219459008,bulk ESS < 400; tail ESS < 400
sigma_N,0.07082472210913714,0.02316609428292363,0.03938330378899693,0.12718495673381747,0.0006576643449401809,1240.786456335567,2000.0151476453116,1.0031435972841922,
