parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6389534919052042,0.05751800639237447,0.5225853652748593,0.7471226781928907,0.001247440834455909,2126.021913860877,2618.67957729005,0.9998400384863966,
kappa,0.14135342471701015,0.04819679305320443,0.04964813408822545,0.2378368328810874,0.0010414010612333738,2141.905233086065,2934.1870176909315,1.000239166765409,
theta,0.1487446491005655,0.22420789331096527,-0.22315229737343104,0.5785956611075806,0.00890771357696818,633.5330965283393,1833.9281013774175,1.0025345828480312,
phi_1,0.8984186889630047,0.03590544587498428,0.8307975870332162,0.9690315162858603,0.0006347246064931984,3200.0,3200.0,0.9999623725736861,
rho_1,0.8873653717542085,0.14546088287448633,0.5241763527265987,1.1226133943786338,0.005095302682418776,814.990342266724,858.6193346317618,1.001748326674049,
rho_2,0.004591302830671094,0.10842802094209054,-0.21818237266592666,0.21625631032637294,0.0025304806022091583,1836.0184325787038,1789.472829041903,1.0009265159985683,
n,-0.02259621649342015,0.02456482043037564,-0.07164189933742825,0.024628887871160545,0.0007136340628766388,1184.8845720097809,2094.9115843186264,1.0018681869934403,
sigma_e,0.5922281120592033,0.0402590419345003,0.5170609302612632,0.6757133097803345,0.000782966179288376,2643.874678250628,3126.5096004309744,0.9996913007398438,
sigma_zeta,0.5475531921821143,0.0340325889369224,0.4853579411704089,0.6191407920349604,0.0006122592073580114,3089.721439493322,3171.4372261837498,0.9999668679092535,
sigma_u,0.19478507969455364,0.020803417216852086,0.15794367294804135,0.23848018007275573,0.00042673357262070367,2376.598040529198,2724.7224415750056,0.9999240070521368,
sigma_eps,0.20547155402696007,0.022171623766793703,0.16533635947957484,0.2538654256271311,0.0005061236144042698,1919.0301548449113,2656.6530199217787,1.000158123419192,
sigma_N,0.2514748314136589,0.020055604194352948,0.21592399356470074,0.29409458025680607,0.0003940411508509155,2590.5283084318507,2994.0631030958125,0.9997617236263218,
