parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6382448713079123,0.05288474835934489,0.5307191450893396,0.7423598422203294,0.0015568951737469625,1153.8308317922258,1798.1846982467548,1.000946149372153,
kappa,0.05211811704510079,0.04142526709554936,-0.02308140687348584,0.14064791365249923,0.002062297729736757,403.4854767951983,935.8842783829218,1.0020465910177767,
theta,-0.01914140546273647,0.08125293017015091,-0.14570069184930207,0.15258450293643386,0.006078621319017836,178.6766845968593,497.32447402298544,1.0093628278470232,bulk ESS < 400
phi_1,0.9500507172188725,0.02726350994177967,0.8963486511935643,1.0039582093353765,0.00048195531896948147,3200.0,2249.450943774596,0.9998002516944453,
rho_1,1.7815365574203372,0.05744917272351837,1.6647125692775064,1.8866047334690372,0.0026004043378141835,488.07413658405676,749.3899650424979,1.0020868173633397,
rho_2,-0.7941169429844759,0.054784136064009774,-0.892993203009411,-0.6820400863648349,0.0022578067028402697,588.7570472696466,1073.728240584152,1.0016206629846653,
n,-0.04224609529858515,0.020467493519002962,-0.06956107414686823,0.007969165648499744,0.001964252461977674,108.5762182060702,164.7253448155899,1.0244698621423276,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6448299463828974,0.04092679326102422,0.5703123921797679,0.7308815792264031,0.000723490326177253,3200.0,3200.0,1.0002526574719919,
sigma_zeta,0.5880062836323426,0.036560794121405706,0.5212562335875154,0.6655484950863753,0.000676082265871585,2924.3688696504196,3041.2262966165067,0.9996874894815393,
sigma_u,0.04896164453299757,0.004615648776765443,0.04101207582723569,0.058779726533211424,9.172061477647948e-05,2532.3958570767227,2895.1190231345267,1.0004397810652235,
sigma_eps,0.03351264734757465,0.0036591266843012927,0.02714575492580995,0.041335945857755525,7.473168187493235e-05,2397.4269252569015,2620.3647637958175,1.000946604545449,
sigma_N,0.023837995374201566,0.0023914282733058013,0.019754963774668767,0.029074052339170164,4.595119346070108e-05,2708.4519044133363,2765.336831113635,0.9996888119594911,
