parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6369981101217522,0.053937367934515396,0.5122324151415836,0.7115836714999696,0.008528246683380016,40.0,40.0,0.9748557821897068,bulk ESS < 400; tail ESS < 400
kappa,0.06127486209792321,0.036337619875934576,0.011207182346696602,0.14463892695220593,0.007100440308696684,26.19041580335038,40.0,0.9994952179234999,bulk ESS < 400; tail ESS < 400
theta,0.06677329515421777,0.21590289296741694,-0.3705589651360335,0.4254461516560682,0.039285481775810954,30.203185945014063,40.0,0.9968860265023426,bulk ESS < 400; tail ESS < 400
phi_1,0.9484476925415043,0.029213843583584347,0.89895024208223,0.9996294393353592,0.005869664685985016,24.77141498392622,40.0,0.9801128027797122,bulk ESS < 400; tail ESS < 400
rho_1,0.5577590609679358,0.1602697198939261,0.2187144957618535,0.7769012712555529,0.06313466139331818,6.444173796679064,23.291713961407492,0.9940571178856489,bulk ESS < 400; tail ESS < 400
rho_2,-0.27167730731695905,0.20592904599982384,-0.7856592749527318,-0.011875991513205916,0.05907018828907534,12.153419948013898,20.431463657484233,1.6324087645985186,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.020769639870328725,0.017280197637168582,-0.05209079453279519,0.016733552069258206,0.0027322391475656307,40.0,19.83886561392201,1.0593460336227574,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6537045901879801,0.04069387367067393,0.5779065551965528,0.7174404300465115,0.0064342663807243185,40.0,40.0,0.9943862785194864,bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5790794885971318,0.035459211045937765,0.5178416484174612,0.6400206406908938,0.005763046467205404,37.857671146647576,23.291713961407492,0.9922851294334512,bulk ESS < 400; tail ESS < 400
sigma_u,0.0959778725957268,0.023374902205745816,0.0708272451134932,0.14712836856004954,0.007934470917783959,8.678879525832487,24.207628784899725,1.0255278382435595,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.18592783934887405,0.025268975812308348,0.14624168600819432,0.23384515767251174,0.00683415055666122,13.671186100067366,22.524698133918772,0.99829415934046,bulk ESS < 400; tail ESS < 400
sigma_N,0.07243089786667822,0.01702370667954194,0.043041736055750124,0.10417418734061196,0.003934364855984593,18.722291008521836,40.0,0.9943307667704893,bulk ESS < 400; tail ESS < 400
