parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.5925175367402106,0.05923012471506685,0.47299391759561016,0.7069596383232317,,,,,
kappa,0.0866184128667742,0.04811739805852761,0.00846393487812295,0.18939164263154853,,,,,
theta,0.23395486252461406,0.24147758968581776,-0.2575109945533307,0.6319039300376001,,,,,
phi_1,0.9507505796781325,0.027388511231807047,0.8984038594025737,1.0038124297881068,,,,,
rho_1,0.9192519595349604,0.1250640294355758,0.6517245694420147,1.1473457280841637,,,,,
rho_2,0.01380827223360194,0.10457514807102707,-0.19804706919011583,0.22212228834546216,,,,,
n,-0.014891185894762616,0.024934348975108187,-0.06902643745753725,0.029871475573207417,,,,,
sigma_e,0.6027389651051737,0.042652372702115825,0.5231726618653857,0.6902900991119377,,,,,
sigma_zeta,0.5733621058468102,0.03701100943656062,0.5073340939063092,0.6514269428359756,,,,,
sigma_u,0.1972336415403452,0.021469415664733642,0.15855799814960586,0.2429140836024084,,,,,
sigma_eps,0.20616751655510945,0.022476610420519624,0.16566153550804796,0.25497852161345297,,,,,
sigma_N,0.2512320613604064,0.019999352591913298,0.2158191117918684,0.2940639972853145,,,,,
