parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6215763062998089,0.04664721439554908,0.5297083721104728,0.714401076772944,0.0008246140405638873,3200.0,3200.0,0.999693713757325,
kappa,0.06270554336609081,0.03028714520956153,0.00440521135936852,0.12108566830047622,0.0005354061440115654,3200.0,2713.7702514831303,0.9999550341772578,
theta,0.10163835156688603,0.10155729987749679,-0.09800999166491203,0.301050561763057,0.0018069139306379647,3158.9835113934096,2920.4796962049627,0.999723428983065,
phi_1,0.9382992591660246,0.025929685891995347,0.8867011191813359,0.9876341564880449,0.00046016283570729527,3175.2025180791725,2933.025074948589,1.0019000228652004,
rho_1,0.50468285206101,0.09970521406966572,0.3106411714621991,0.6993375068769018,0.0019341797213455736,2657.3091882269773,3046.5042493684327,1.000208821047283,
rho_2,-0.3687955544158211,0.09416125210445354,-0.5533456251771991,-0.18433483778975565,0.001828465708072731,2651.9834544118517,2935.9405143219788,1.0002389717457811,
n,-0.017407549434655032,0.01752561225620441,-0.05233268750075547,0.016436596575117524,0.0003098119817702052,3200.0,3200.0,1.000109187395227,
sigma_e,0.6242318662706519,0.03825057326296472,0.5542149781655076,0.7055284548426464,0.0007019076917503042,2969.722664634097,3200.0,1.0012781147648067,
sigma_zeta,0.5618640586243481,0.03494942969728678,0.4982945563209147,0.6348286856105161,0.0006178244684388497,3200.0,3079.887956416614,1.0002182464672074,
sigma_u,0.14434620021986597,0.017468967019015028,0.11495445845105128,0.1833406507342439,0.0003810717629043327,2101.458953225471,2763.849498776807,0.9997248863082024,
sigma_eps,0.19884521514112832,0.02015717225174549,0.16371015882277398,0.2407919961999578,0.0004047505249747455,2480.1866909401892,2560.438385099024,1.0001872569519539,
sigma_N,0.3206624504435054,0.023450718638465835,0.2797629217604049,0.37047857768794923,0.00043324364594923327,2929.8670131846548,2967.6379704810392,0.9998411837186845,
