parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6169465072936586,0.0546343928834399,0.5257001108792959,0.7203329095911204,,,,,
kappa_0,0.09608962534626068,0.19337156109534165,-0.20902886044670915,0.40470202056618154,,,,,
delta,-0.00044363277601811284,0.0011564431463242375,-0.00276892296639254,0.001273702213602426,,,,,
theta_0,0.0669448088535474,0.20198092290565525,-0.2423283475026117,0.37116784594526275,,,,,
gamma,-0.00010199234044581608,0.0009563657254658133,-0.0015128166345197756,0.001518184233792792,,,,,
kappa_t_mean,0.0049001521768322325,0.1511665881224657,-0.26235950399839975,0.2615264732800679,,,,,
kappa_t_start,0.006620355451639498,0.1482476049561254,-0.2587177185658672,0.25884374468261034,,,,,
kappa_t_mid,-0.002831725388846555,0.16368332401128605,-0.27646365183424354,0.27613302717932536,,,,,
kappa_t_end,0.016309043340111174,0.13599025054296998,-0.24203837250745755,0.2447145628900179,,,,,
theta_t_mean,0.0459737493861619,0.025824261899391392,0.01126079912581222,0.1011769415913352,,,,,
theta_t_start,0.046549262605721196,0.026338053380062988,0.008859507773791723,0.09940422868001511,,,,,
theta_t_mid,0.0443284043624251,0.02894678097021567,-0.01152134346128193,0.1122633015417204,,,,,
theta_t_end,0.04870453329935486,0.03832525566426137,-0.012294407509687636,0.10659776081816628,,,,,
phi_1,0.6638736154293504,0.058332022609778524,0.5844663352987448,0.7841744651554746,,,,,
rho_1,1.1914078654866933,0.11301428122579334,1.0021617267154064,1.3878700336863194,,,,,
rho_2,-0.26949246371517543,0.11986169563303682,-0.469890135278074,-0.06632879500388644,,,,,
n,-0.08992796745195446,0.058997525826350636,-0.18053465778368016,0.037073895189507766,,,,,
lambda_ez,-0.0122070890554397,0.1928203382267919,-0.3013701090197076,0.2784925652674705,,,,,
rho,-0.009511642944825493,0.13822254368014847,-0.20319806579614436,0.19829188548016813,,,,,
sigma_e,0.6851907315512707,0.04987681656137069,0.5984356528368251,0.7626212604002596,,,,,
sigma_zeta,0.4954072070620567,0.032806037220358485,0.44294124469284357,0.5676526295954359,,,,,
sigma_u,0.6963738193585188,0.05991629273714354,0.6000743800640901,0.8435244108902182,,,,,
sigma_eps,1.0611751413569621,0.07983324782911497,0.9285853659822179,1.1819408010385442,,,,,
