severity,parameter,warning
warning,gamma,R-hat 1.014 > 1.01
warning,theta_t_mean,R-hat 1.011 > 1.01
warning,theta_t_mean,bulk ESS 362.3 < 400
warning,theta_t_start,R-hat 1.081 > 1.01
warning,theta_t_start,bulk ESS 70.4 < 400
warning,theta_t_mid,R-hat 1.013 > 1.01
warning,theta_t_mid,bulk ESS 300.2 < 400
warning,rho_1,R-hat 1.105 > 1.01
warning,rho_1,bulk ESS 131.8 < 400
warning,rho_2,R-hat 1.101 > 1.01
warning,rho_2,bulk ESS 139.9 < 400
warning,n,R-hat 1.307 > 1.01
warning,n,bulk ESS 11.2 < 400
warning,n,tail ESS 39.2 < 400
warning,sigma_e,R-hat 1.011 > 1.01
warning,sigma_eps,R-hat 1.016 > 1.01
warning,sigma_eps,bulk ESS 252.0 < 400
warning,sigma_N,R-hat 1.062 > 1.01
