severity,parameter,warning
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,bulk ESS 15.9 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,theta_0,R-hat 1.013 > 1.01
warning,theta_0,bulk ESS 40.0 < 400
warning,theta_0,tail ESS 40.0 < 400
warning,gamma,bulk ESS 40.0 < 400
warning,gamma,tail ESS 40.0 < 400
warning,kappa_t_mean,bulk ESS 15.9 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,bulk ESS 15.4 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 17.5 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.010 > 1.01
warning,kappa_t_end,bulk ESS 16.2 < 400
warning,kappa_t_end,tail ESS 24.2 < 400
warning,theta_t_mean,R-hat 1.013 > 1.01
warning,theta_t_mean,bulk ESS 40.0 < 400
warning,theta_t_mean,tail ESS 40.0 < 400
warning,theta_t_start,R-hat 1.020 > 1.01
warning,theta_t_start,bulk ESS 40.0 < 400
warning,theta_t_start,tail ESS 40.0 < 400
warning,theta_t_mid,bulk ESS 40.0 < 400
warning,theta_t_mid,tail ESS 40.0 < 400
warning,theta_t_end,R-hat 1.021 > 1.01
warning,theta_t_end,bulk ESS 40.0 < 400
warning,theta_t_end,tail ESS 40.0 < 400
warning,phi_1,bulk ESS 30.9 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 2.957 > 1.01
warning,rho_1,bulk ESS 13.8 < 400
warning,rho_1,tail ESS 24.2 < 400
warning,rho_2,R-hat 1.897 > 1.01
warning,rho_2,bulk ESS 13.9 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,R-hat 1.195 > 1.01
warning,n,bulk ESS 37.6 < 400
warning,n,tail ESS 24.2 < 400
warning,lambda_ez,R-hat 1.040 > 1.01
warning,lambda_ez,bulk ESS 19.7 < 400
warning,lambda_ez,tail ESS 24.2 < 400
warning,rho,R-hat 1.036 > 1.01
warning,rho,bulk ESS 19.7 < 400
warning,rho,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.256 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 24.2 < 400
warning,sigma_u,R-hat 1.067 > 1.01
warning,sigma_u,bulk ESS 17.7 < 400
warning,sigma_u,tail ESS 24.2 < 400
warning,sigma_eps,R-hat 1.111 > 1.01
warning,sigma_eps,bulk ESS 20.4 < 400
warning,sigma_eps,tail ESS 24.2 < 400
warning,sigma_N,bulk ESS 9.2 < 400
warning,sigma_N,tail ESS 19.8 < 400
