parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6421791832920095,0.053714579947274625,0.5349897683245908,0.7471271479334933,0.0009495485932326207,3200.0,3040.404204954607,0.9997457544754649,
kappa_0,0.007628432774283454,0.11429261250999781,-0.21723229467990476,0.22881605872594585,0.002041333194054073,3134.790518914612,2930.7533236635177,0.9997122628516666,
delta,-0.00015839136000493688,0.018869746639748563,-0.037021354124741924,0.03778165398713598,0.00033416612943000865,3188.653153441125,3200.0,0.9996874982390159,
theta_0,0.04506636097133205,0.10202630276849632,-0.14845586606832414,0.2527071228995714,0.00219898465610789,2152.6821018395563,2145.6441670792947,1.0000919824235328,
gamma,-0.00083931693410122,0.019202933707533905,-0.03875969374748055,0.036228812247110935,0.00033946311608182387,3200.0,2768.0299565823466,0.9998312659919014,
kappa_t_mean,0.00761752739289506,0.11435086337683233,-0.2194283269694221,0.2263874108772016,0.0020399175686856568,3142.343513528264,2930.407634060587,0.9997110717235888,
kappa_t_start,0.0075280479014665,0.11830996797633629,-0.22727116522546367,0.23627503645717582,0.0020914445159507665,3200.0,2734.0384134184296,0.9997021975134058,
kappa_t_mid,0.007321723231422751,0.11886949313249708,-0.22339793223110807,0.23721304122087292,0.0021079562350786855,3179.93060000241,3004.37237318651,0.9997387477553028,
kappa_t_end,0.008079447493622953,0.12438525340781371,-0.23844751467789554,0.24588389890636228,0.0022434300051908025,3074.062848440208,3118.8470351733695,0.9997043031971165,
theta_t_mean,0.044890111458962885,0.10131309868189967,-0.14946169784043614,0.24873520334699492,0.0021873453630001875,2145.341715018306,2090.0135551615735,1.0000730284395856,
theta_t_start,0.043627451877794314,0.10101028772730573,-0.1552230736221432,0.25175151282600344,0.0022121498867913435,2084.9810728885373,2170.7152269895814,1.0000855708632244,
theta_t_mid,0.04380323203176897,0.1019712331612778,-0.1593724259171076,0.25465550508808993,0.0021748042290180257,2198.441962666796,1768.266252691887,0.9999381625832302,
theta_t_end,0.047286874839676966,0.12124546894589716,-0.18030222805203583,0.2862270930514859,0.002467951802216257,2413.557708845966,2967.8742441941786,1.000162184270764,
phi_1,0.664657381863889,0.06611065463568046,0.5304078149781689,0.7954711993735678,0.0011686823050392878,3200.0,3159.667445568668,0.9996884165017368,
rho_1,0.28319077202700677,0.08080910460836571,0.08465531589646717,0.4000492420519211,0.01156797744566233,48.798415767834506,62.12459136905142,1.0502990318097696,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.8787442572055727,0.060551342840359165,-0.9660769045279786,-0.7339573170777524,0.006173699222692871,96.19591354333014,167.5478080805763,0.9999206617863049,bulk ESS < 400; tail ESS < 400
n,-0.03248130416818119,0.014624184050881704,-0.06034854177849618,-0.0035122455113310363,0.0008417078759351702,301.87038351986814,747.8689359471298,1.002472705193344,bulk ESS < 400
lambda_ez,-0.016080856173135417,0.15675157616259996,-0.331130978448972,0.28928907123802505,0.002823841444912145,3081.365508030721,2617.132414060897,0.9997011126798568,
rho,-0.011648645230230117,0.11437625070767096,-0.23975924025757459,0.21399641291164925,0.0020565694297068576,3093.035898318912,2860.7426677352514,0.999703981311526,
sigma_e,0.6767207923276095,0.04356042907741609,0.5963092288409361,0.7707509526287332,0.0007813485434064474,3108.0978591598805,3124.883702212112,0.9996964037163646,
sigma_zeta,0.4991753612563628,0.03171358643991302,0.4427850307314087,0.5649545309750507,0.0006055081775106323,2743.157170767859,2984.7476982444423,0.9997640217066364,
sigma_u,0.10127580102988375,0.03190675702388355,0.05817682344274464,0.18578721352052854,0.0036735581138454716,75.43823192240487,71.3348873859284,1.01605332786138,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.14971022091856345,0.029498906639050474,0.0901277824285523,0.21174367652369713,0.0028408639099618636,107.82289284940181,91.52677301694378,1.004731697677095,bulk ESS < 400; tail ESS < 400
sigma_N,0.06985529169987259,0.021548644901226696,0.03950395866641936,0.12199022724192357,0.0005544779651326856,1510.328247157467,2210.7779052001138,0.9996994805028653,
