parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6023888978615318,0.06006020129732596,0.4853576576948906,0.7182984544617472,0.0056752216396773565,111.99739277143215,2470.7324547945477,1.1585179183738867,R-hat > 1.01; bulk ESS < 400
kappa_0,0.03570528601637563,0.12185201980641705,-0.20969088778752573,0.28277763200616796,0.006375957182242271,365.23692777682857,2322.2823136912493,1.0454824916321446,R-hat > 1.01; bulk ESS < 400
delta,-0.001961079843739374,0.01947627454378842,-0.040059763899525896,0.03587442892895248,0.0003442951450540931,3200.0,3200.0,1.0000597897114605,
theta_0,0.05644121833999453,0.2535583248882742,-0.3799268810511279,0.4719614353299176,0.052689361856010176,23.158470370219938,94.59715196438208,2.84912153601392,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
gamma,-0.006052334325692786,0.020110218547863035,-0.04575219016220886,0.03229695448879136,0.00204160698533237,97.02626076225197,226.40716999938743,1.0005478003351167,bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.03585384531215588,0.12179485056199506,-0.2082160076080205,0.2809521995148552,0.006379871563033292,364.4466665250392,2254.7683723726727,1.0469733027631154,R-hat > 1.01; bulk ESS < 400
kappa_t_start,0.035072521801611585,0.12816963612734078,-0.22010911570806022,0.28749422006752823,0.006363249047920384,405.7069619905215,2236.6826903830192,1.05546866526472,R-hat > 1.01
kappa_t_mid,0.0334844349855619,0.12376445202844329,-0.21831298410770208,0.27947447333586284,0.006352522633820571,379.57657647685824,2121.8464719619574,1.0480966108624294,R-hat > 1.01; bulk ESS < 400
kappa_t_end,0.04084040040033621,0.13256984844145303,-0.22614643426655245,0.30724264725120104,0.0058186426954418965,519.094157516931,2981.0520466955636,1.0326659002078344,R-hat > 1.01
theta_t_mean,0.056793062934796676,0.2543906901042045,-0.38025774708312615,0.4719844143101874,0.05202432568136982,23.91054677045699,93.09472950088531,2.9196759415561737,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_start,0.05336822147872466,0.2616028932107396,-0.3811523397335808,0.47719729747777573,0.04572996729493233,32.72527494389394,92.36499610859858,3.227320694911562,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mid,0.05256353472422001,0.2539912909344859,-0.3843377532699048,0.47055953916910925,0.05238052982599445,23.512449560352987,93.3472207107335,2.8986208067681893,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_end,0.07061024594694999,0.2614690309621173,-0.415504685771011,0.49302678300232505,0.051017058144046994,26.266952645901085,92.60015107955273,2.456101638307391,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.6641992840454022,0.06787677189558337,0.5294963956145815,0.7966205809588974,0.0011999031423104867,3200.0,3200.0,1.0015696763802093,
rho_1,0.9616061907254473,0.12196400020217633,0.7250782274089219,1.1949449829770349,0.010020541091296757,148.14294483315183,827.4164862400688,1.0172421153771034,R-hat > 1.01; bulk ESS < 400
rho_2,-0.03710490468700803,0.11371065060894402,-0.2607989302667288,0.1839441545067541,0.006103349720579487,347.1089225674291,1471.3011484640192,1.002385722565778,bulk ESS < 400
n,-0.021365239408982103,0.03172588717655733,-0.07994705275696744,0.040534072321419985,0.0015640216320569394,411.47366029435517,1440.1066629907764,1.387551112687442,R-hat > 1.01
lambda_ez,-0.035810719032800996,0.15883939901246238,-0.34444454104132155,0.27261395693091417,0.003080670357032771,2658.434785081581,2801.8779360821386,0.9998008934438414,
rho,-0.027419383160708913,0.12153964764852303,-0.26285467183960803,0.21267043196381177,0.0023563114972416214,2660.544585715673,2784.1025105430945,0.999856610816512,
sigma_e,0.6423445583691045,0.045139609840849915,0.5615728555325927,0.7366834880071685,0.0032057392740576034,198.2710042231274,1952.7501009618447,1.0387934753222126,R-hat > 1.01; bulk ESS < 400
sigma_zeta,0.4984141018399411,0.032164241681863624,0.44045774164467927,0.5652352415342577,0.0005685888351242193,3200.0,2797.8144832839903,1.0002175175057015,
sigma_u,0.2736603071895343,0.022309007176580468,0.23405185404403256,0.3206276403783032,0.000751373393775746,881.5538799838836,2264.809459220837,1.0113619979870043,R-hat > 1.01
sigma_eps,0.28039135038971047,0.02317247598660471,0.23925090242457486,0.32955728084020963,0.001690130192762755,187.97693379947677,1825.844308340921,1.022131505059597,R-hat > 1.01; bulk ESS < 400
