parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6110471799505843,0.04851777021982743,0.5141254224562137,0.703508553162519,0.0008586977313950507,3192.427444123336,2804.274626841451,0.9996890340806018,
kappa_0,0.05606882886868027,0.08076828618571087,-0.10112259713795026,0.21516002724213662,0.0014677234457108116,3028.2607797715596,3119.3197422644685,0.9997169802099497,
delta,-0.0010146492871252319,0.009889167186244502,-0.019919037792247338,0.01830591694178039,0.0001748174294420244,3200.0,3200.0,1.0014627821436919,
theta_0,0.11134771239180241,0.10663464541334561,-0.10102676239481378,0.3199153266915763,0.004745769007391657,504.8745355606487,1013.7973072486637,1.0031687455985228,
gamma,-0.00027575267869936124,0.009914557005830589,-0.01956877038313945,0.01903064410910056,0.00017840713942697173,3088.319109647755,3200.0,0.9999044972802992,
kappa_t_mean,0.05605938686223308,0.08078898349755916,-0.10112964069426025,0.21536039699888554,0.001468045320571682,3028.4845433580626,3200.0,0.9997163665822536,
kappa_t_start,0.056342214000416356,0.0811614179117394,-0.10525714513717349,0.21678948965424358,0.0014755348323937775,3025.5220259939524,3200.0,0.9996947951794074,
kappa_t_mid,0.05446340403693679,0.08233132067409378,-0.10761098555191584,0.21811185020322302,0.0015047651040381185,2993.592909240381,3159.9028599680737,0.9998882985889088,
kappa_t_end,0.05879182160171268,0.08524733955597179,-0.10591210955849599,0.22543584899776986,0.0015245545924569412,3126.624360511239,3042.7315777199387,0.9997436551843899,
theta_t_mean,0.11133038505836428,0.10665034932287078,-0.10056860716058925,0.31994937454188005,0.0047470085307357674,504.75954499581314,1231.0238507090587,1.0031795260147949,
theta_t_start,0.11185201172765381,0.10708837388785919,-0.10181048668351214,0.32118680605866284,0.004777210634774504,502.4997696855032,1045.3420919412895,1.0030927097094977,
theta_t_mid,0.1109673945674119,0.10747941603013386,-0.10047069115184448,0.32162416575032704,0.004705548396680197,521.7111363642713,1031.5275432218439,1.0028120382825632,
theta_t_end,0.11210296131529482,0.11064267014329345,-0.10802221357245388,0.32874837352947767,0.004869301111842653,516.3117788006076,1228.484572263313,1.0032921957684644,
phi_1,0.6742188721283567,0.05773898737315886,0.5624829644933487,0.7864685448885805,0.0010206907377601267,3200.0,3200.0,1.0013808972749616,
rho_1,0.6558398476022183,0.09903628130405677,0.45895315607855436,0.8454131095063439,0.004891235559527623,409.96944690247625,999.5567256970629,1.0000914596841348,
rho_2,-0.28037214018454615,0.09075679748887044,-0.4559877216716523,-0.10015934354457254,0.003710751646839076,598.1836626341666,922.8477921399676,0.9998693237397749,
n,-0.0127230730389646,0.028601350167674993,-0.06771767938604814,0.045140944667460256,0.0005056052163663496,3200.0,2928.203903714338,0.9997981142275386,
lambda_ez,-0.05753503906576359,0.13913975760215516,-0.3245310706155122,0.22153300332360487,0.0024596666533284097,3200.0,2739.9060812445377,0.9998531901225229,
rho,-0.04166850855560912,0.1009453938482982,-0.2343734553885485,0.16437751873228376,0.0017844793129919614,3200.0,2966.571170940741,0.9998239060405751,
sigma_e,0.6847760072371778,0.04374916925468577,0.6070536550835144,0.7759564592646346,0.0008238343268011522,2820.0697743643705,2861.075506000378,0.9998964822272994,
sigma_zeta,0.4994418685827877,0.032301312710121696,0.4433537201912946,0.5692590060671263,0.0005832377296011764,3067.2496320779164,3200.0,0.9996911459772894,
sigma_u,0.3600022617548563,0.028416961282724067,0.30897861243342417,0.42113428448578144,0.0007178294727137651,1567.157696118094,2671.7603721866894,0.9997535564288756,
sigma_eps,0.38284543919738245,0.0303542629589243,0.3277117490515215,0.44539735442085754,0.0007424979273421637,1671.2787562194787,2446.8787484802674,0.9996940013780192,
