severity,parameter,warning
warning,alpha,R-hat 1.011 > 1.01
warning,alpha,bulk ESS 170.9 < 400
warning,kappa_0,R-hat 1.014 > 1.01
warning,delta,R-hat 1.020 > 1.01
warning,theta_0,R-hat 1.090 > 1.01
warning,theta_0,bulk ESS 41.4 < 400
warning,theta_0,tail ESS 87.3 < 400
warning,gamma,R-hat 1.720 > 1.01
warning,gamma,bulk ESS 60.0 < 400
warning,gamma,tail ESS 138.4 < 400
warning,kappa_t_start,R-hat 1.017 > 1.01
warning,kappa_t_mid,R-hat 1.038 > 1.01
warning,kappa_t_end,bulk ESS 353.7 < 400
warning,theta_t_mean,bulk ESS 39.5 < 400
warning,theta_t_mean,tail ESS 104.6 < 400
warning,theta_t_start,R-hat 2.467 > 1.01
warning,theta_t_start,bulk ESS 32.0 < 400
warning,theta_t_start,tail ESS 23.7 < 400
warning,theta_t_mid,R-hat 1.025 > 1.01
warning,theta_t_mid,bulk ESS 57.5 < 400
warning,theta_t_mid,tail ESS 174.9 < 400
warning,theta_t_end,R-hat 1.474 > 1.01
warning,theta_t_end,bulk ESS 32.8 < 400
warning,theta_t_end,tail ESS 103.5 < 400
warning,rho_1,bulk ESS 99.5 < 400
warning,rho_1,tail ESS 343.2 < 400
warning,rho_2,bulk ESS 117.0 < 400
warning,rho_2,tail ESS 360.1 < 400
warning,n,R-hat 1.537 > 1.01
warning,n,bulk ESS 236.0 < 400
warning,sigma_e,R-hat 1.131 > 1.01
warning,sigma_eps,bulk ESS 362.9 < 400
