parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6094002454806347,0.05758201375628297,0.49532457034231364,0.7194213825408038,0.004405104848753136,170.8681818549504,937.2734602962639,1.0107034743599383,R-hat > 1.01; bulk ESS < 400
kappa_0,0.04040680563055215,0.14144744249321153,-0.2454596570290266,0.32236530192380336,0.005654186422620766,625.8207403391941,2186.6652594754505,1.0137974700315786,R-hat > 1.01
delta,-0.03125250398775092,0.06827171126552194,-0.17482237932675262,0.10059462589284639,0.0024157642481808152,798.679391218813,2114.3774186544133,1.0200701545618194,R-hat > 1.01
theta_0,0.14327582623858803,0.11797858105069198,-0.03670657611726336,0.44829323043745517,0.018336495776245212,41.39745583950126,87.2605149578923,1.0895896600174242,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
gamma,-0.06422683020904102,0.09570195592801249,-0.2334968359592734,0.12789581074632803,0.01235938016386183,59.95815296483563,138.4318613310671,1.7200501009527824,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.034179739386556184,0.1388521205251342,-0.24694495784682635,0.30354887863794766,0.00536183433687799,670.6227003436088,2362.629974686136,1.008388353095571,
kappa_t_start,0.01864701914388791,0.17035782279768566,-0.3242042195178549,0.3525371246728375,0.0074533336208883975,522.4239032553918,732.9322242266522,1.016769707762114,R-hat > 1.01
kappa_t_mid,0.013125362179235617,0.15423246493674234,-0.2969030744775535,0.3094393506999785,0.006113572218759954,636.445917992084,2448.0099593043174,1.0383256568229746,R-hat > 1.01
kappa_t_end,0.08961446204652918,0.18905622644953352,-0.27070384408536446,0.4673956164453151,0.010052558057632725,353.694893980072,1018.1961250670304,1.0042437105914983,bulk ESS < 400
theta_t_mean,0.11754302697574731,0.10640878838158781,-0.05172794849117236,0.3749573264069586,0.016923687837765735,39.53347441828832,104.55660197048714,0.9998856921851096,bulk ESS < 400; tail ESS < 400
theta_t_start,-0.042505315228117464,0.19623870358272372,-0.34187160588920046,0.3927689176838162,0.0347139548279084,31.956642501045632,23.724641269976164,2.466939376176553,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mid,0.0953376254614836,0.1115813814104878,-0.12993231459713028,0.3252631777482145,0.014715263867205513,57.4972878477417,174.88765493035012,1.0245028776187197,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_end,0.29673990516510446,0.29090101024868886,-0.10790923647673156,1.013760148820552,0.05082322387271072,32.76167053232856,103.52277402877303,1.4743075563480883,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.6587854303905596,0.06927564587584271,0.5284521025398774,0.7943219929529514,0.0012422697037459019,3109.7779462681415,3200.0,1.0007228575731177,
rho_1,1.1433730425541668,0.16116096698816978,0.8085166190791502,1.4375879434513739,0.016154103241518745,99.53000383598629,343.24117253316643,1.000312782015377,bulk ESS < 400; tail ESS < 400
rho_2,-0.1725361231897281,0.15726504111675765,-0.4585284464716594,0.15145730398861706,0.014536588856062061,117.04136309605818,360.0913336245488,1.009555997858835,bulk ESS < 400; tail ESS < 400
n,-0.025363616604361358,0.02567887905715209,-0.07283913120986706,0.023911900948989814,0.0016716084338955434,235.98424891899236,1327.7811315413435,1.5373871174122244,R-hat > 1.01; bulk ESS < 400
lambda_ez,-0.04126695455460327,0.17470785467921168,-0.38882332200609776,0.29858966963866457,0.004260693260604963,1681.3739837767068,2872.847664913898,1.0054454232064711,
rho,-0.032101340915044706,0.1338191586454435,-0.2945351361196014,0.22958210924650982,0.0033286931154325574,1616.1775675964632,2604.879507349777,1.0061763476375243,
sigma_e,0.6440350619991299,0.047116089360937335,0.5574907343091215,0.738612936990291,0.0021098493462973484,498.6956527058511,2057.232506808883,1.1312004675527498,R-hat > 1.01
sigma_zeta,0.49910817352142806,0.03214104029318776,0.4406422225731961,0.5670260225695551,0.0005681786886425781,3200.0,3160.723576772319,0.9997108655764994,
sigma_u,0.20368963551082003,0.017445397634968697,0.17281103246674734,0.2414979195510837,0.0006278784018078434,771.9881915144626,1383.2645051379304,1.0005865021334,
sigma_eps,0.20360792427613186,0.017366038879707904,0.17318041288639693,0.24052458914610356,0.0009115775298728601,362.922852089644,2445.0328057575375,0.9999254330804346,bulk ESS < 400
