severity,parameter,warning
warning,alpha,bulk ESS 281.0 < 400
warning,theta_0,R-hat 1.243 > 1.01
warning,theta_0,bulk ESS 43.8 < 400
warning,theta_0,tail ESS 221.7 < 400
warning,gamma,R-hat 1.012 > 1.01
warning,theta_t_mean,R-hat 1.243 > 1.01
warning,theta_t_mean,bulk ESS 43.4 < 400
warning,theta_t_mean,tail ESS 194.9 < 400
warning,theta_t_start,R-hat 1.195 > 1.01
warning,theta_t_start,bulk ESS 55.1 < 400
warning,theta_t_start,tail ESS 177.3 < 400
warning,theta_t_mid,R-hat 1.249 > 1.01
warning,theta_t_mid,bulk ESS 43.7 < 400
warning,theta_t_mid,tail ESS 208.1 < 400
warning,theta_t_end,R-hat 1.209 > 1.01
warning,theta_t_end,bulk ESS 48.1 < 400
warning,theta_t_end,tail ESS 174.7 < 400
warning,rho_1,bulk ESS 194.8 < 400
warning,n,R-hat 1.026 > 1.01
warning,n,bulk ESS 109.8 < 400
warning,sigma_e,bulk ESS 353.9 < 400
warning,sigma_eps,bulk ESS 340.8 < 400
