parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.587055852397231,0.05603727463596754,0.47983629802634065,0.6985463747304234,,,,,
kappa_0,-0.002926819452816327,0.08327482638867173,-0.1645576570229638,0.16363453228272892,,,,,
delta,0.00898595499932799,0.018590352223579482,-0.02661411196261599,0.044495664323716724,,,,,
theta_0,0.2437113067707368,0.11061149518285414,0.067586939458212,0.47656072229954227,,,,,
gamma,-0.006440799318898382,0.019934474956202087,-0.04490673290797266,0.03368404637077585,,,,,
kappa_t_mean,-0.004814103662618696,0.08296030144968317,-0.1647398709655415,0.16140414496015137,,,,,
kappa_t_start,-0.018638020960903365,0.0876136968140581,-0.1887211833159077,0.1551332326801161,,,,,
kappa_t_mid,0.005199514846849575,0.08698211112569067,-0.16199393733078407,0.17839811311317513,,,,,
kappa_t_end,-0.021140611199935225,0.08952975307260036,-0.19369677237718305,0.15793763412331976,,,,,
theta_t_mean,0.245075268569153,0.11038137703688164,0.06613359875477391,0.4773524365198801,,,,,
theta_t_start,0.25731083213324896,0.10894015574278748,0.07325198029172122,0.4902522114960747,,,,,
theta_t_mid,0.23782513728138976,0.11624182957593339,0.04370130057225895,0.47758710330006265,,,,,
theta_t_end,0.25459531901025206,0.11565811925838748,0.0704050638120475,0.5068424067731574,,,,,
phi_1,0.6315255396249655,0.0666585683939981,0.49379877480531187,0.7646346005055813,,,,,
rho_1,0.9860114088961232,0.1138610713100253,0.7672356355801592,1.2031157681211277,,,,,
rho_2,-0.041335427991624894,0.10991435790412608,-0.25236844366247496,0.16801697572845276,,,,,
n,-0.0010208103949665593,0.02686378425131748,-0.05268407444242769,0.05104143388867384,,,,,
lambda_ez,0.017629896661861964,0.10315358088175178,-0.18096601435374712,0.21513650717613225,,,,,
rho,0.023969005789941836,0.13781306322162148,-0.243946136549704,0.29080870909945206,,,,,
sigma_e,0.6383694920880891,0.044840864389212205,0.5585925015013795,0.7320681730797759,,,,,
sigma_zeta,0.8679889890989338,0.05500382065173719,0.7708665159232387,0.9854881916090509,,,,,
sigma_u,0.2761526332159134,0.02246531601825011,0.23589850577155316,0.32434990579108464,,,,,
sigma_eps,0.2828592319351608,0.023897051033970856,0.23939052626066068,0.3364113493101519,,,,,
