parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6451974277806425,0.053215055204581155,0.5529984552668699,0.7506613703132311,0.0084140390129037,40.0,40.0,0.9857701091913048,bulk ESS < 400; tail ESS < 400
kappa_0,-0.006313227300112158,0.09415594134470971,-0.16928929280716382,0.19763583568788629,0.026085752651972983,13.02832895123063,24.20762878489973,1.0183331032399485,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
delta,0.02058433287419811,0.01612697250693116,-0.00269235010028827,0.05756574704442629,0.0025498982442409023,40.0,40.0,0.9936103525273366,bulk ESS < 400; tail ESS < 400
theta_0,0.042258703688432236,0.16300498347829848,-0.30572226867010177,0.30924568130773217,0.02577335088747695,40.0,40.0,0.9963179683067527,bulk ESS < 400; tail ESS < 400
gamma,0.0020026175270041135,0.019356625231422467,-0.0251135849073682,0.04090176521791296,0.0030605511772789423,40.0,40.0,0.9769811272893607,bulk ESS < 400; tail ESS < 400
kappa_t_mean,-0.0056222091300295015,0.09450107155754144,-0.1679975955301124,0.20116717151435246,0.026158606316861645,13.051014206163883,24.20762878489973,1.0199226734850972,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_start,-0.01836395664526018,0.09357772513556087,-0.18752914324976752,0.18480630119925653,0.026866888193892286,12.13138066961805,24.20762878489973,1.0406955233683963,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.03218025516106793,0.10537287500240174,-0.12196852528718538,0.2697761330269985,0.026784985242756028,15.476574271400192,23.291713961407492,1.0007225608099708,bulk ESS < 400; tail ESS < 400
kappa_t_end,-0.05737637280940542,0.09583704623452285,-0.25306727582431354,0.1288648132185208,0.026368464500238692,13.209827881102036,24.207628784899725,1.047080154435979,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mean,0.042410740403900235,0.16328717736334025,-0.30685287374295567,0.3093471536093862,0.025817969658402138,40.0,40.0,0.9962880609280467,bulk ESS < 400; tail ESS < 400
theta_t_start,0.04034164497759105,0.1636021692111487,-0.30671671200731004,0.3088542850565257,0.025867774242575126,40.0,40.0,1.0014527895306846,bulk ESS < 400; tail ESS < 400
theta_t_mid,0.04590969887813292,0.17158324058863275,-0.30099367854332193,0.35780392857221516,0.02712969242863648,40.0,40.0,0.9930461137253743,bulk ESS < 400; tail ESS < 400
theta_t_end,0.03769738937368942,0.16456627495397863,-0.29330655525286736,0.3069928291882109,0.026020212745204684,40.0,40.0,0.9995913058283209,bulk ESS < 400; tail ESS < 400
phi_1,0.6255521104278048,0.07896512293082904,0.4755759600094818,0.7436000613271567,0.014510694038347123,29.613808361040565,40.0,0.9750115813524262,bulk ESS < 400; tail ESS < 400
rho_1,0.3471648362159846,0.29131093184205376,-0.04085951247181446,0.8286611293181931,0.07574232589788214,14.792319895821096,24.207628784899725,2.9739279349491503,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.49518567432090965,0.20145526179373946,-0.792542770430168,-0.13984704916392915,0.05794613086628819,12.08671674838747,23.291713961407492,1.8631306612643384,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.01911493733290649,0.018251809287948985,-0.04819725139585433,0.017798464878376743,0.0029641477194284616,37.91509585287855,24.207628784899725,1.2066302768985153,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.025772567588995415,0.12643024378672696,-0.27960248932303217,0.23473082405002235,0.03207106066349072,15.540869162295781,24.207628784899725,1.0591638655148081,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho,0.03453387485740171,0.15957657521800211,-0.35582461193444137,0.289577425290923,0.0405210669015277,15.508740780370792,24.207628784899725,1.0586404340864446,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.675310476347212,0.04462688182947801,0.5973598475520552,0.7593922741921406,0.007056129572616624,40.0,40.0,1.2618624981269544,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.8617107824870383,0.04544784300422464,0.7711941561808472,0.9320737949897332,0.007185934931754967,40.0,24.207628784899725,0.9794434728092197,bulk ESS < 400; tail ESS < 400
sigma_u,0.10870035902221101,0.012299461246736776,0.08991091372285445,0.1310522165972732,0.0029323704457160354,17.592781521865888,20.431463657484233,1.0805402019151464,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.21038065142701914,0.03038094623979505,0.164504771848612,0.27180196446942656,0.006724916313974495,20.409333570508185,24.207628784899725,1.119157114859406,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.06357832903065253,0.01958975737772325,0.03798910979603271,0.11168657677785622,0.0064516638208451434,9.219654695823039,19.83886561392201,0.9803157160441399,bulk ESS < 400; tail ESS < 400
