parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.587055852397231,0.05603727463596754,0.47983629802634065,0.6985463747304234,0.0033428375630932166,281.01109243827807,2061.8382631046197,1.0039024224598412,bulk ESS < 400
kappa_0,-0.002926819452816327,0.08327482638867173,-0.1645576570229638,0.16363453228272892,0.002894065691932299,827.9625666074216,2215.040263733898,1.0021666165264014,
delta,0.00898595499932799,0.018590352223579482,-0.02661411196261599,0.044495664323716724,0.0006035816715722019,948.6437495078658,2451.1347986366895,1.001120066304818,
theta_0,0.2437113067707368,0.11061149518285414,0.067586939458212,0.47656072229954227,0.01672101296059232,43.759803061812775,221.7347169647727,1.2431933000322946,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
gamma,-0.006440799318898382,0.019934474956202087,-0.04490673290797266,0.03368404637077585,0.0009097626306200788,480.1239997427175,2326.0275638371413,1.011952599607233,R-hat > 1.01
kappa_t_mean,-0.004814103662618696,0.08296030144968317,-0.1647398709655415,0.16140414496015137,0.002838553973385051,854.1739646919307,2241.0974902746157,1.002247270866807,
kappa_t_start,-0.018638020960903365,0.0876136968140581,-0.1887211833159077,0.1551332326801161,0.0024782823709344356,1249.8055127262098,1953.3744826665431,1.0017224080238405,
kappa_t_mid,0.005199514846849575,0.08698211112569067,-0.16199393733078407,0.17839811311317513,0.0033769890498918007,663.4383670803956,2513.7032311200123,1.0022813391525858,
kappa_t_end,-0.021140611199935225,0.08952975307260036,-0.19369677237718305,0.15793763412331976,0.003033327090613075,871.1567093687553,1808.8362134831632,1.0084813305808906,
theta_t_mean,0.245075268569153,0.11038137703688164,0.06613359875477391,0.4773524365198801,0.016751954302381723,43.41708443573007,194.86136250845516,1.242826346514954,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_start,0.25731083213324896,0.10894015574278748,0.07325198029172122,0.4902522114960747,0.014675666048099226,55.10364688422326,177.2717258883124,1.1950854854733304,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mid,0.23782513728138976,0.11624182957593339,0.04370130057225895,0.47758710330006265,0.017589556650053347,43.67320735243765,208.0987210687209,1.2492407171007214,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_end,0.25459531901025206,0.11565811925838748,0.0704050638120475,0.5068424067731574,0.016671646236087335,48.12771904705912,174.67863414333283,1.2088270952450182,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.6315255396249655,0.0666585683939981,0.49379877480531187,0.7646346005055813,0.0011783681433895831,3200.0,3200.0,0.9997289580923766,
rho_1,0.9860114088961232,0.1138610713100253,0.7672356355801592,1.2031157681211277,0.008158748454819792,194.7616497234246,1846.7637187980838,1.006964843155213,bulk ESS < 400
rho_2,-0.041335427991624894,0.10991435790412608,-0.25236844366247496,0.16801697572845276,0.003979533853736421,762.8593037843135,2187.663393127978,1.0026340240014553,
n,-0.0010208103949665593,0.02686378425131748,-0.05268407444242769,0.05104143388867384,0.002563840741335571,109.78734756467428,573.9925396431385,1.0264707040021048,R-hat > 1.01; bulk ESS < 400
lambda_ez,0.017629896661861964,0.10315358088175178,-0.18096601435374712,0.21513650717613225,0.002065126269610842,2495.027834639889,2831.302853876889,1.0050214119343617,
rho,0.023969005789941836,0.13781306322162148,-0.243946136549704,0.29080870909945206,0.0027618157665225355,2489.9542239345033,2703.0185865511326,1.0050384446185292,
sigma_e,0.6383694920880891,0.044840864389212205,0.5585925015013795,0.7320681730797759,0.0023837110514539307,353.86754385034425,2353.8869426738443,1.0069635033834623,bulk ESS < 400
sigma_zeta,0.8679889890989338,0.05500382065173719,0.7708665159232387,0.9854881916090509,0.0010067468411326856,2985.0056908785514,2767.7771348725487,1.0004907779563244,
sigma_u,0.2761526332159134,0.02246531601825011,0.23589850577155316,0.32434990579108464,0.0007246388252438328,961.1294081496678,1715.1819158410422,0.9997197665413344,
sigma_eps,0.2828592319351608,0.023897051033970856,0.23939052626066068,0.3364113493101519,0.0012944852845861504,340.7959197249795,1483.679018398226,1.0040555903336879,bulk ESS < 400
