parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6626007820337998,0.06146078674375828,0.5415623797385255,0.781909476335131,0.0010864834770892937,3200.0,3200.0,0.9997017113119113,
kappa_0,0.0547259183821037,0.042623968044215435,-0.030778933486469838,0.1389418308500797,0.0007872814964118277,2931.214946936504,3200.0,1.0023555620884546,
delta,-0.018141959762632415,0.016337847207534707,-0.051451040391569294,0.014042027631863905,0.0003014712392542978,2936.9590283386915,2869.6218038129223,1.0006652442565969,
theta_0,0.05032401134660692,0.1111206591385752,-0.15564798868840435,0.27678383874875356,0.002470786802593318,2022.642236339358,480.6027535672591,1.0008339330395113,
gamma,-0.0009767085841253824,0.0191311618820362,-0.038454928138764485,0.03598633247783465,0.0003664020650452523,2726.257465194571,2624.5309696814043,0.9996966514986482,
kappa_t_mean,0.05114760265724669,0.042927526481054204,-0.03482350749666206,0.13609521583382478,0.0007860664145038726,2982.313178451376,3200.0,1.001746775469844,
kappa_t_start,0.033368764804654436,0.05045062662427849,-0.06932935961343124,0.13265357098463446,0.0009509387587005359,2814.6735486573657,3179.16818972631,1.0007535293318786,
kappa_t_mid,0.022696562641311244,0.05497772033656793,-0.0846065609551287,0.132730067958507,0.0011457257257815325,2302.5662044565925,1962.5883970111838,1.0057322759320728,
kappa_t_end,0.1018457517259056,0.05712319273181142,-0.006115522726019785,0.21811204354976785,0.0010498253832449446,2960.6754857582628,3122.08637439943,0.999930475251371,
theta_t_mean,0.050108254143242784,0.11059000080511777,-0.15409678687946785,0.27570498150319334,0.002471148221441508,2002.7840839578648,474.7649957793545,1.0008671471898642,
theta_t_start,0.04875539364637621,0.11061122779903827,-0.15908633313661685,0.2728868535356006,0.0025379576816808836,1899.4579057366534,253.91516220300724,1.0013133218168637,tail ESS < 400
theta_t_mid,0.048727087594748045,0.11212772481074072,-0.1664520044556769,0.2729567681273693,0.0025238737839343747,1973.7436910380632,412.6939515776933,1.0007092439497038,
theta_t_end,0.05289857552266257,0.1275462950548475,-0.18509828683688068,0.3125052303939462,0.0025850334640775494,2434.4639988366303,334.48698441403576,1.0006472581627868,tail ESS < 400
phi_1,0.9147931566990976,0.03271661829852075,0.8482374500615844,0.9786987831217321,0.0005783535664093978,3200.0,3080.3251677446337,0.999806590711004,
rho_1,0.28841598141681773,0.14250066777065354,-0.12618215526319318,0.6035713914806441,0.023167225732497028,37.83430306944036,22.192584783522108,1.130000596228555,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.8280272057722456,0.1725624268066772,-0.9652170675357739,-0.2639383837174805,0.04708126556722168,13.433717858731157,22.130900937342574,1.0768564740034479,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.030799897505758737,0.015855614794163198,-0.06009834635940111,0.0028166346838413236,0.0014207665028037257,124.54341041868472,181.02694194216937,1.023739239195637,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.007561018155066097,0.1162020751464736,-0.22606749731780346,0.23408152945719563,0.0020541818831005063,3200.0,3123.0161609675115,0.9997419635803958,
rho,0.0065809896969789535,0.10001053248421382,-0.19379471983415072,0.2002565820402595,0.0017679531427416272,3200.0,3132.861467848116,0.9997217684673865,
sigma_e,0.665676282788487,0.04318163211881897,0.5873517183886159,0.7585513737079942,0.000763350622347993,3200.0,3082.527445924523,1.0000950899646126,
sigma_zeta,0.5786431155652008,0.03695467262010628,0.5132938786161156,0.6561452447079523,0.0006532724901551497,3200.0,3033.216043760066,1.0000189573615652,
sigma_u,0.10031171800775568,0.0311160216522216,0.058045954285069264,0.18384489244674068,0.0035543143800718297,76.64016883074977,70.53682830014188,1.015765093491249,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.1552663465457742,0.033811602889559325,0.09482059747502897,0.23114883717517745,0.005219775067078574,41.95927176581456,55.947195374775596,1.0334639205083385,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.070314722666809,0.022030452588044938,0.03968464590099038,0.12341179790994529,0.0005813541178677624,1436.0360169853172,2190.7878630883783,0.9998595764759471,
