parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6043464721849415,0.06118302536191168,0.4842908632082613,0.7253959428649294,,,,,
kappa_0,0.08768732699329711,0.049103203632490156,-0.008766547058891664,0.17908114981603107,,,,,
delta,-0.021934211742128742,0.01693364121518273,-0.05132550990331451,0.014767638139186457,,,,,
theta_0,0.07550886667431053,0.28155972396874884,-0.2827978772985377,0.5375328968865063,,,,,
gamma,0.0008215024418950262,0.017096066059539613,-0.03613170616196245,0.03307723962798207,,,,,
kappa_t_mean,0.08575032276360012,0.04845861105803371,-0.008793417890364023,0.17843590432936593,,,,,
kappa_t_start,0.05089974921069959,0.07708279494019787,-0.10199194102386017,0.18824243459975595,,,,,
kappa_t_mid,0.05092984614999832,0.05977188239602341,-0.06448769513655803,0.17017262700168528,,,,,
kappa_t_end,0.1626899192963799,0.07699216251496442,0.03147420212551695,0.3240292164948412,,,,,
theta_t_mean,0.07617857877656747,0.2807496261621216,-0.2793239676752837,0.5390442319654496,,,,,
theta_t_start,0.08607972099028632,0.2752210495438952,-0.2682797538931821,0.5410730241076955,,,,,
theta_t_mid,0.07892936454555785,0.27557542700464605,-0.265318433111347,0.5445745810667925,,,,,
theta_t_end,0.06900175938866279,0.2977373009161273,-0.3521963885376996,0.5554009424905596,,,,,
phi_1,0.9143433005652253,0.03273253139608515,0.8502266723108508,0.976521343962032,,,,,
rho_1,0.988042975548882,0.11782805405193035,0.7555865970493727,1.216363799458036,,,,,
rho_2,-0.04207897690257265,0.11228324715925486,-0.2565247909582655,0.17907558687649153,,,,,
n,-0.030261188550122563,0.037149457313979777,-0.10045376573455218,0.03907839334282743,,,,,
lambda_ez,-0.021862280593706693,0.11414171194415561,-0.25020062334901283,0.1961791760707676,,,,,
rho,-0.020815453458566877,0.10742533399265904,-0.23295127183154143,0.18208675320366996,,,,,
sigma_e,0.6097433068285034,0.04175151122355474,0.5349805676891076,0.6990191573301812,,,,,
sigma_zeta,0.578183704543015,0.037194028100761466,0.5095780176826815,0.655835617210569,,,,,
sigma_u,0.27755163703188374,0.023015101709555928,0.23646544748736167,0.3279300054726698,,,,,
sigma_eps,0.2857901682782658,0.02354854571764895,0.24530784476697437,0.336059882666433,,,,,
