severity,parameter,warning
warning,alpha,bulk ESS 239.4 < 400
warning,kappa_0,R-hat 1.703 > 1.01
warning,kappa_0,bulk ESS 61.0 < 400
warning,kappa_0,tail ESS 98.2 < 400
warning,delta,R-hat 1.257 > 1.01
warning,delta,bulk ESS 26.3 < 400
warning,delta,tail ESS 67.4 < 400
warning,theta_0,R-hat 1.068 > 1.01
warning,theta_0,bulk ESS 12.4 < 400
warning,theta_0,tail ESS 89.8 < 400
warning,gamma,R-hat 1.425 > 1.01
warning,gamma,bulk ESS 73.8 < 400
warning,gamma,tail ESS 164.6 < 400
warning,kappa_t_mean,R-hat 1.391 > 1.01
warning,kappa_t_mean,bulk ESS 81.1 < 400
warning,kappa_t_mean,tail ESS 257.1 < 400
warning,kappa_t_start,R-hat 1.729 > 1.01
warning,kappa_t_start,bulk ESS 106.5 < 400
warning,kappa_t_start,tail ESS 169.7 < 400
warning,kappa_t_mid,R-hat 1.734 > 1.01
warning,kappa_t_mid,bulk ESS 34.9 < 400
warning,kappa_t_mid,tail ESS 55.6 < 400
warning,kappa_t_end,bulk ESS 51.0 < 400
warning,kappa_t_end,tail ESS 145.5 < 400
warning,theta_t_mean,R-hat 1.261 > 1.01
warning,theta_t_mean,bulk ESS 11.5 < 400
warning,theta_t_mean,tail ESS 52.4 < 400
warning,theta_t_start,R-hat 2.737 > 1.01
warning,theta_t_start,bulk ESS 10.1 < 400
warning,theta_t_start,tail ESS 72.4 < 400
warning,theta_t_mid,R-hat 1.157 > 1.01
warning,theta_t_mid,bulk ESS 11.5 < 400
warning,theta_t_mid,tail ESS 57.2 < 400
warning,theta_t_end,R-hat 1.041 > 1.01
warning,theta_t_end,bulk ESS 26.5 < 400
warning,theta_t_end,tail ESS 241.7 < 400
warning,rho_1,R-hat 1.020 > 1.01
warning,rho_1,bulk ESS 66.5 < 400
warning,rho_1,tail ESS 247.2 < 400
warning,rho_2,bulk ESS 131.1 < 400
warning,n,R-hat 1.520 > 1.01
warning,n,bulk ESS 306.7 < 400
warning,lambda_ez,R-hat 1.016 > 1.01
warning,rho,R-hat 1.015 > 1.01
warning,sigma_e,R-hat 1.019 > 1.01
warning,sigma_e,bulk ESS 86.9 < 400
warning,sigma_u,R-hat 1.011 > 1.01
warning,sigma_eps,R-hat 1.124 > 1.01
warning,sigma_eps,bulk ESS 164.6 < 400
