severity,parameter,warning
warning,alpha,bulk ESS 240.3 < 400
warning,kappa_0,R-hat 1.027 > 1.01
warning,kappa_0,bulk ESS 293.2 < 400
warning,delta,bulk ESS 255.6 < 400
warning,theta_0,R-hat 1.028 > 1.01
warning,theta_0,bulk ESS 17.4 < 400
warning,theta_0,tail ESS 235.9 < 400
warning,kappa_t_mean,R-hat 1.022 > 1.01
warning,kappa_t_mean,bulk ESS 307.7 < 400
warning,kappa_t_mid,R-hat 1.014 > 1.01
warning,kappa_t_mid,bulk ESS 321.4 < 400
warning,kappa_t_end,R-hat 1.037 > 1.01
warning,kappa_t_end,bulk ESS 196.4 < 400
warning,theta_t_mean,R-hat 1.028 > 1.01
warning,theta_t_mean,bulk ESS 17.5 < 400
warning,theta_t_mean,tail ESS 225.3 < 400
warning,theta_t_start,R-hat 1.019 > 1.01
warning,theta_t_start,bulk ESS 18.1 < 400
warning,theta_t_start,tail ESS 239.9 < 400
warning,theta_t_mid,R-hat 1.031 > 1.01
warning,theta_t_mid,bulk ESS 18.1 < 400
warning,theta_t_mid,tail ESS 247.1 < 400
warning,theta_t_end,R-hat 1.019 > 1.01
warning,theta_t_end,bulk ESS 19.4 < 400
warning,theta_t_end,tail ESS 284.5 < 400
warning,rho_1,bulk ESS 59.0 < 400
warning,rho_1,tail ESS 192.0 < 400
warning,rho_2,bulk ESS 380.1 < 400
warning,n,bulk ESS 158.4 < 400
warning,sigma_e,bulk ESS 285.3 < 400
