parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6598847848022698,0.05488616443885801,0.5481534324920804,0.7638780572352736,0.0010390547965851643,2790.286910567973,2863.371433870451,1.0008626618317686,
kappa_0,0.1363408806169021,0.04858207110976621,0.039628791824710574,0.22943243845273728,0.0008588177981450686,3200.0,3200.0,1.004625361593814,
delta,-0.0055839026181382445,0.016256708250133967,-0.03716732484265972,0.026471970051824566,0.0002873807160860255,3200.0,2932.540319472648,1.0191004462992308,R-hat > 1.01
theta_0,0.02162696947243985,0.05769457655646867,-0.09084614272499986,0.135408250117537,0.001834247345221059,989.3596226266588,2651.7479637790757,1.0107787732167504,R-hat > 1.01
gamma,-0.021290173038736517,0.01888483153120949,-0.05655348900181193,0.016606655930461674,0.001241965503876298,231.21029255215277,1850.3990686250488,1.0452497882438185,R-hat > 1.01; bulk ESS < 400
kappa_t_mean,0.134733140351074,0.04831620989921882,0.039980793836648966,0.22658278801212905,0.0009155015511008634,2785.27159227159,3200.0,1.0125645022164382,R-hat > 1.01
kappa_t_start,0.12051782162681636,0.059904742366695296,-0.0019025119415147474,0.23304671683682684,0.002425895660076485,609.7870181640892,2097.146026148115,1.0404053416077634,R-hat > 1.01
kappa_t_mid,0.13462955983733763,0.04836068515809291,0.03995120696775854,0.2277916713493655,0.0009241942659102554,2738.1570317439105,3200.0,1.0131801369381574,R-hat > 1.01
kappa_t_end,0.14902692428691477,0.06514147726315955,0.017185624788703852,0.2735902105134436,0.0011515495077322356,3200.0,3200.0,0.9999608029332582,
theta_t_mean,0.017346701169689484,0.05769966196291346,-0.09542628441040917,0.13347618455988405,0.00337552248306298,292.1894477797307,1988.593627054147,1.048523964751011,R-hat > 1.01; bulk ESS < 400
theta_t_start,-0.03533672358065405,0.06713074903187052,-0.16030350037497257,0.10191310105985346,0.010206665367180692,43.258876233340644,231.92919303158286,1.155070232241684,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mid,0.017241936123884152,0.05792092816108257,-0.09683827079238293,0.13386707316061536,0.003468471445412845,278.86549341945306,1741.2849191659773,1.0527676665323182,R-hat > 1.01; bulk ESS < 400
theta_t_end,0.07008774411605341,0.08132979056536324,-0.09027338479272007,0.22732173913721015,0.0015182497024891124,2869.544066908523,1729.8498255693783,0.9997245344979384,
phi_1,0.8964477523406515,0.037473201882354853,0.8213275054846946,0.9687022167964556,0.0006624388790946403,3200.0,2828.2561299483677,0.9997502892372664,
rho_1,1.7978756518258516,0.05237279408107061,1.6868128160602365,1.8906406336737018,0.004490187090332414,136.04500919124678,1279.1661849208754,1.0994162932599159,R-hat > 1.01; bulk ESS < 400
rho_2,-0.812673315869396,0.05048410203017287,-0.9032949216175509,-0.7048078742107271,0.004101422118883817,151.50966331942016,1273.7065937636355,1.0883372410032428,R-hat > 1.01; bulk ESS < 400
n,-0.0393111846383805,0.00543127919808936,-0.05000011093959741,-0.029487526043804783,0.0016623432036520166,10.674876830324854,34.69370373098712,1.266412439819795,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.13208348580409635,0.11449478483633486,-0.09030966372719416,0.3570269725826735,0.002024000969206677,3200.0,3095.441866185614,1.0011054053665522,
rho,0.12171433491878413,0.10415190490310705,-0.08248730391685685,0.32142319382515,0.0018411629557620855,3200.0,3169.240617007265,1.0012784128460137,
sigma_e,0.6324060452137197,0.04179642861288331,0.5549595355497439,0.7167735489757422,0.0007393656844931535,3195.654122329992,2863.4981250301084,1.003526724798654,
sigma_zeta,0.5847971339729814,0.03728050470754553,0.5170907340926933,0.6642375315772889,0.0006590324421190612,3200.0,3200.0,1.0002574945002238,
sigma_u,0.04627619626806205,0.00475869658306557,0.038129416589691635,0.056580497442372056,0.00010225037259982062,2165.939049340999,2480.3610982361815,0.9998235092270915,
sigma_eps,0.030941886589333122,0.003919928130511622,0.024277669198816295,0.03959161670155177,0.00023688834667592428,273.8223008671449,1606.880652713392,1.0155714884914155,R-hat > 1.01; bulk ESS < 400
sigma_N,0.02814047120944707,0.004944119663820726,0.021235818128677673,0.04054329403876993,0.00020366290168837993,589.3239524898837,1853.491745384477,1.0635681898159424,R-hat > 1.01
