severity,parameter,warning
warning,theta_0,tail ESS 314.7 < 400
warning,theta_t_start,tail ESS 312.9 < 400
warning,theta_t_mid,tail ESS 290.5 < 400
warning,rho_1,R-hat 1.035 > 1.01
warning,rho_1,bulk ESS 39.9 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,R-hat 1.059 > 1.01
warning,rho_2,bulk ESS 27.2 < 400
warning,rho_2,tail ESS 25.3 < 400
warning,n,bulk ESS 150.3 < 400
warning,n,tail ESS 371.3 < 400
warning,sigma_u,bulk ESS 270.1 < 400
warning,sigma_eps,R-hat 1.021 > 1.01
warning,sigma_eps,bulk ESS 83.9 < 400
warning,sigma_eps,tail ESS 136.4 < 400
