parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6239764235964957,0.05919133814953424,0.5067913324755335,0.7388349845445145,0.003818132466772337,240.33351204646064,1132.9290389091123,1.004945667740884,bulk ESS < 400
kappa_0,0.13883720949489786,0.052031585236807266,0.03534148419512691,0.23931490319352228,0.0030385121147732765,293.23254577596606,870.5212935872462,1.0267080432072693,R-hat > 1.01; bulk ESS < 400
delta,-0.011231073012576365,0.018264202224741743,-0.04687784520266268,0.02430767213439897,0.0011424301890151603,255.58894912536184,1579.7415422293275,1.0087933129383342,bulk ESS < 400
theta_0,0.21958953018105398,0.1322861856164681,0.015012388721930413,0.5177024691334041,0.03174748272930016,17.3624255650639,235.91421082980455,1.02837035358785,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
gamma,-0.002779330430030347,0.020064165874198427,-0.04282769484620511,0.03599442785923343,0.0006866170740030034,853.9118129595234,1499.2889803309654,1.0054061972473156,
kappa_t_mean,0.13983854571310567,0.051278574992687884,0.03557839564198304,0.24153522682868891,0.0029233655134023725,307.68452716985126,858.8027540066147,1.021982803140038,R-hat > 1.01; bulk ESS < 400
kappa_t_start,0.14599409999608237,0.050862772497573476,0.04393153410889934,0.24665850034533923,0.002421745512297714,441.10608814988666,1161.6900546680724,1.0078909929400979,
kappa_t_mid,0.12702207343880642,0.05864836954575201,0.005317898284270457,0.23959935178557673,0.003271301963853176,321.41831298063227,842.1749329340857,1.0137755881746446,R-hat > 1.01; bulk ESS < 400
kappa_t_end,0.1625334114553849,0.059899666787164005,0.049711019146130596,0.28593670915682873,0.0042745616812535124,196.36570287251692,486.88942051871635,1.03692319238233,R-hat > 1.01; bulk ESS < 400
theta_t_mean,0.21988372824660704,0.13240987232964196,0.014374185339214722,0.517861145012073,0.03168588476961176,17.462606051576632,225.31477654762023,1.027857897682725,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_start,0.22279252755457718,0.1332675719974094,0.005670761931772875,0.5198050577259362,0.03136349541301747,18.055106497459917,239.85492784514403,1.019082044454502,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mid,0.216368071723598,0.13454643656992907,0.008294365222019517,0.5163399315818158,0.03161138430759133,18.115793888356936,247.13891333491995,1.0313193831027376,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_end,0.22618614020802436,0.13875838691775438,0.003661321160419133,0.5342788715255868,0.03148759459952459,19.41956575797568,284.4702348032878,1.0189501782490955,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.8966351972674866,0.037258434579595885,0.8252585693953269,0.9719539972836514,0.0006768501558195366,3030.150096262202,2887.5424464154903,0.9997116499766072,
rho_1,0.967043301332465,0.1291853825720874,0.7007971968410199,1.2083424403516478,0.016824141436678,58.96046906584198,192.00814375181673,1.0090604093839637,bulk ESS < 400; tail ESS < 400
rho_2,-0.05063479366275587,0.11499903803177833,-0.2761607014545082,0.17700262713730425,0.005898240610235125,380.13989024615034,1713.955976081084,1.0034478668269653,bulk ESS < 400
n,-0.008296703946375885,0.02641365302133346,-0.061084298760907034,0.04399710398787305,0.002098828788271223,158.38093846892667,835.573223879797,1.0084472174251884,bulk ESS < 400
lambda_ez,0.09875435983332924,0.11434666277635337,-0.13123922932214976,0.3255023550774916,0.0026486592297350867,1863.7807215416476,2960.062340376954,1.0000184469168052,
rho,0.09385229811670939,0.10766763509706119,-0.12580943040843903,0.30416068302941374,0.002440585167482732,1946.1773453465303,2718.9686464698284,0.9999152510422756,
sigma_e,0.6098274586068224,0.04132225119545201,0.5348111081744015,0.6968540731125318,0.002446627209318016,285.2543948980918,1372.4701648565924,1.0009551981802833,bulk ESS < 400
sigma_zeta,0.5856601322184535,0.037694330430481295,0.5192725600239095,0.6623195143572446,0.0006663479164919939,3200.0,3200.0,1.0000720734983413,
sigma_u,0.2739694213875883,0.02279906272488645,0.2331811251260382,0.3216009624966556,0.0007037598667716427,1049.5061632583952,1914.4316592145224,1.002100909564789,
sigma_eps,0.2805075000931074,0.023443174351647274,0.23909386577847566,0.32865672694284653,0.00105728396537259,491.64264150992994,1944.865009857003,1.0017939618094185,
