severity,parameter,warning
warning,alpha,R-hat 1.097 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.026 > 1.01
warning,kappa_0,bulk ESS 40.0 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,R-hat 1.128 > 1.01
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 22.5 < 400
warning,theta_0,bulk ESS 7.2 < 400
warning,theta_0,tail ESS 23.3 < 400
warning,gamma,R-hat 1.029 > 1.01
warning,gamma,bulk ESS 40.0 < 400
warning,gamma,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.028 > 1.01
warning,kappa_t_mean,bulk ESS 40.0 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,R-hat 1.034 > 1.01
warning,kappa_t_start,bulk ESS 40.0 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 40.0 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.199 > 1.01
warning,kappa_t_end,bulk ESS 40.0 < 400
warning,kappa_t_end,tail ESS 40.0 < 400
warning,theta_t_mean,bulk ESS 7.2 < 400
warning,theta_t_mean,tail ESS 23.3 < 400
warning,theta_t_start,bulk ESS 7.4 < 400
warning,theta_t_start,tail ESS 24.2 < 400
warning,theta_t_mid,bulk ESS 7.1 < 400
warning,theta_t_mid,tail ESS 19.8 < 400
warning,theta_t_end,bulk ESS 8.8 < 400
warning,theta_t_end,tail ESS 23.3 < 400
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.088 > 1.01
warning,rho_1,bulk ESS 17.0 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,bulk ESS 25.3 < 400
warning,rho_2,tail ESS 23.3 < 400
warning,n,bulk ESS 40.0 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_e,bulk ESS 27.2 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 23.3 < 400
warning,sigma_u,R-hat 1.216 > 1.01
warning,sigma_u,bulk ESS 38.5 < 400
warning,sigma_u,tail ESS 40.0 < 400
warning,sigma_eps,R-hat 1.014 > 1.01
warning,sigma_eps,bulk ESS 28.8 < 400
warning,sigma_eps,tail ESS 24.2 < 400
