parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.5990426019197084,0.051001679676740526,0.49965676561851463,0.7002511708109405,,,,,
kappa_0,-0.012055815729982568,0.18631372213720263,-0.3736186031780432,0.3438057430757842,,,,,
delta,0.000627502703875787,0.0009370795347613797,-0.001146574779854013,0.0024274702257372797,,,,,
theta_0,0.3669225406887437,0.1217620405619149,0.12169653498473354,0.6017005231877279,,,,,
gamma,-0.001702566163456285,0.0005815626051913261,-0.002840542404515971,-0.0005447696786772774,,,,,
kappa_t_mean,0.11725561836614855,0.03821422145415707,0.041955396298419254,0.18904082882123674,,,,,
kappa_t_start,0.12477651418676945,0.04267160768145553,0.03947002552814935,0.20664422184840833,,,,,
kappa_t_mid,0.1181985895433284,0.03860102146013896,0.0418650766905646,0.19072395438000936,,,,,
kappa_t_end,0.10583172767503508,0.03766658183045699,0.030899969815966984,0.17642751879524224,,,,,
theta_t_mean,0.016113172309387185,0.007341933827291552,0.0017568872997614983,0.030788293071570345,,,,,
theta_t_start,-0.00429401318498244,0.0091894023216543,-0.022607702030481864,0.013488116943652336,,,,,
theta_t_mid,0.013707097056902982,0.0071683057146386675,-0.00035312928092487764,0.02739814821536992,,,,,
theta_t_end,0.046812528657479424,0.014652538826771021,0.018711867825376996,0.07716489300816473,,,,,
phi_1,0.9489334502149773,0.028325055999173173,0.8945656590927286,1.0041517790312573,,,,,
rho_1,1.815925319778865,0.047175674296248735,1.719440626767442,1.9024984514274297,,,,,
rho_2,-0.8299128181473909,0.04633655830993735,-0.9161348276094627,-0.7351184805006831,,,,,
n,-0.21795029455747517,0.04267941304109222,-0.29798523698104956,-0.1320574646144269,,,,,
lambda_ez,0.017750786167946352,0.09981672043556969,-0.18387294835471218,0.2091264996084982,,,,,
rho,0.016558558705304857,0.09300868990298637,-0.17022394639366334,0.195599505132757,,,,,
sigma_e,0.6335642782087493,0.04049004626026419,0.5593084455709163,0.7174125862157167,,,,,
sigma_zeta,0.5967010056646732,0.03801058182102053,0.5278446604361212,0.6755507650284434,,,,,
sigma_u,0.44127293883732654,0.04239699592494675,0.3641086886337722,0.5308755227680082,,,,,
sigma_eps,0.3852763049945001,0.0386353733559788,0.31766353367414063,0.46975875946482915,,,,,
