severity,parameter,warning
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 24.2 < 400
warning,kappa_0,R-hat 1.121 > 1.01
warning,kappa_0,bulk ESS 36.5 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,R-hat 1.032 > 1.01
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 24.2 < 400
warning,theta_0,R-hat 1.081 > 1.01
warning,theta_0,bulk ESS 40.0 < 400
warning,theta_0,tail ESS 40.0 < 400
warning,gamma,bulk ESS 40.0 < 400
warning,gamma,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.124 > 1.01
warning,kappa_t_mean,bulk ESS 36.4 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,R-hat 1.245 > 1.01
warning,kappa_t_start,bulk ESS 31.4 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 40.0 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.316 > 1.01
warning,kappa_t_end,bulk ESS 25.6 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,theta_t_mean,R-hat 1.081 > 1.01
warning,theta_t_mean,bulk ESS 40.0 < 400
warning,theta_t_mean,tail ESS 40.0 < 400
warning,theta_t_start,R-hat 1.075 > 1.01
warning,theta_t_start,bulk ESS 40.0 < 400
warning,theta_t_start,tail ESS 40.0 < 400
warning,theta_t_mid,R-hat 1.090 > 1.01
warning,theta_t_mid,bulk ESS 40.0 < 400
warning,theta_t_mid,tail ESS 40.0 < 400
warning,theta_t_end,R-hat 1.056 > 1.01
warning,theta_t_end,bulk ESS 40.0 < 400
warning,theta_t_end,tail ESS 40.0 < 400
warning,phi_1,bulk ESS 35.9 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.576 > 1.01
warning,rho_1,bulk ESS 14.5 < 400
warning,rho_1,tail ESS 24.2 < 400
warning,rho_2,R-hat 1.605 > 1.01
warning,rho_2,bulk ESS 17.6 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,R-hat 1.103 > 1.01
warning,n,bulk ESS 40.0 < 400
warning,n,tail ESS 24.2 < 400
warning,lambda_ez,R-hat 1.058 > 1.01
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 24.2 < 400
warning,rho,R-hat 1.067 > 1.01
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.320 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 24.2 < 400
warning,sigma_u,bulk ESS 12.3 < 400
warning,sigma_u,tail ESS 22.5 < 400
warning,sigma_eps,R-hat 1.299 > 1.01
warning,sigma_eps,bulk ESS 40.0 < 400
warning,sigma_eps,tail ESS 40.0 < 400
warning,sigma_N,R-hat 1.103 > 1.01
warning,sigma_N,bulk ESS 36.0 < 400
warning,sigma_N,tail ESS 24.2 < 400
