parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6422875705490004,0.05102331422989604,0.5396308310779826,0.7416802174831922,0.0009019732872642889,3200.0,2724.012857502479,1.0006816461952504,
kappa_0,0.08102981358621747,0.034598201148163754,0.014707941733941327,0.1488974068923944,0.0010813381851032594,1023.7265334124245,2732.171493823427,1.0013166484380762,
delta,0.02871824047243219,0.01271852228346516,0.002989679977572485,0.05339774723001073,0.0002761982353645337,2120.466967222592,2666.661163668842,0.9997418532794525,
theta_0,0.03242749886328608,0.10857676528837353,-0.16105277085791309,0.2765755673568876,0.006405686334719122,287.3045211631783,128.6075235320878,1.000271223934342,bulk ESS < 400; tail ESS < 400
gamma,-0.002196794124200374,0.019809931346358164,-0.04001557627523485,0.03765956480415675,0.00040681269376680105,2371.2478460485822,3200.0,1.001257551533478,
kappa_t_mean,0.08681671487410438,0.03494070005707768,0.01924679897084969,0.1560152132208384,0.0006771303494746975,2662.677968690313,2789.409269971721,0.9998478774080409,
kappa_t_start,0.1315530564564307,0.052870488901120304,0.03468929859583691,0.24159530158532438,0.0068718152465174565,59.1948198875327,181.90704173180976,1.0067891591528826,bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.12616381476455119,0.04912866647321548,0.03250329449027938,0.22677268057331942,0.003628548542018595,183.31756389114278,2172.755426440347,1.0008987347821467,bulk ESS < 400
kappa_t_end,0.004099582307842057,0.039177274935065565,-0.07130323904902325,0.08005332336565094,0.002556296972356936,234.87989139225348,2721.115647089849,1.001433159632364,bulk ESS < 400
theta_t_mean,0.031720418924952226,0.10749385455869837,-0.1591098973195589,0.27702027636389004,0.006483001901190009,274.9254690162543,119.61855925485503,1.0004603023525582,bulk ESS < 400; tail ESS < 400
theta_t_start,0.02645975432299611,0.1063672979687676,-0.15638265686633543,0.2786391598590885,0.00827378338231772,165.27530277389073,122.02244744910041,1.0021698838415882,bulk ESS < 400; tail ESS < 400
theta_t_mid,0.02917727323546437,0.10669255888721986,-0.1592670405195121,0.27498848371646545,0.007156894517589054,222.2383631824649,129.38267102799622,1.0007538607039839,bulk ESS < 400; tail ESS < 400
theta_t_end,0.03850103627267738,0.13096780692743765,-0.20659072412541235,0.31067798775886707,0.006019211642698526,473.4235772626587,197.84340519701254,0.9996976951920812,tail ESS < 400
phi_1,0.9480343473795009,0.026709721212985323,0.895434573728183,0.998730099696391,0.00047216562483260246,3200.0,2751.898051835001,0.9996874665560401,
rho_1,0.26086797774035075,0.1640207527005325,-0.12123810035790784,0.6770864244964337,0.034414914934750206,22.7145532899196,44.06913182252578,1.0197104629414175,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.8079524041924038,0.1969730663885708,-0.957595146166623,-0.1951308014384505,0.0405364329700588,23.611448553902243,51.22489468189376,1.005565639450574,bulk ESS < 400; tail ESS < 400
n,-0.0346337734459805,0.01672078966716198,-0.06640428322397425,-0.0002415876233659996,0.0026025303667271114,41.27831458208598,132.41358735610666,1.0172500625601,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.021437240032149762,0.10432771736356859,-0.182041574638493,0.22816764103733042,0.0019666650709812424,2814.0940089928367,2747.8687042208894,1.0000080294496352,
rho,0.019820463342303273,0.09572952309021619,-0.16665818203315227,0.20700732575815844,0.0018190092590368774,2769.6313809119297,2717.1593534711405,0.9999653434263605,
sigma_e,0.6393618011489337,0.04163543052874056,0.565491327229448,0.731835453276562,0.0007360173816123463,3200.0,3077.550979752001,0.999749375094745,
sigma_zeta,0.5938106160701334,0.037743245780228134,0.524425821014544,0.6716035079139173,0.0006927173217064354,2968.7005663312784,2589.557514284071,0.999868429738906,
sigma_u,0.10644314458562242,0.04002258521134136,0.056872594066068025,0.20939599200915937,0.0065448215691038866,37.39509613599068,75.74148343369595,0.9996895286219711,bulk ESS < 400; tail ESS < 400
sigma_eps,0.15038719572277115,0.03802651715356072,0.0704249773629791,0.23098142066528243,0.006474309269893547,34.497388362210316,43.57049788289442,1.0013702759987984,bulk ESS < 400; tail ESS < 400
sigma_N,0.06958625599503104,0.021844369981845416,0.038936313729151614,0.12465746617509256,0.0005825844901542572,1405.9219466854813,1937.0925552005392,0.9997831209806267,
