severity,parameter,warning
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,bulk ESS 40.0 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,theta_0,bulk ESS 40.0 < 400
warning,theta_0,tail ESS 40.0 < 400
warning,gamma,bulk ESS 40.0 < 400
warning,gamma,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.016 > 1.01
warning,kappa_t_mean,bulk ESS 40.0 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,R-hat 1.081 > 1.01
warning,kappa_t_start,bulk ESS 40.0 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 40.0 < 400
warning,kappa_t_mid,tail ESS 40.0 < 400
warning,kappa_t_end,R-hat 1.050 > 1.01
warning,kappa_t_end,bulk ESS 40.0 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,theta_t_mean,bulk ESS 40.0 < 400
warning,theta_t_mean,tail ESS 40.0 < 400
warning,theta_t_start,bulk ESS 40.0 < 400
warning,theta_t_start,tail ESS 40.0 < 400
warning,theta_t_mid,bulk ESS 40.0 < 400
warning,theta_t_mid,tail ESS 23.3 < 400
warning,theta_t_end,bulk ESS 40.0 < 400
warning,theta_t_end,tail ESS 40.0 < 400
warning,phi_1,bulk ESS 37.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 2.631 > 1.01
warning,rho_1,bulk ESS 11.6 < 400
warning,rho_1,tail ESS 24.2 < 400
warning,rho_2,R-hat 1.643 > 1.01
warning,rho_2,bulk ESS 13.1 < 400
warning,rho_2,tail ESS 23.3 < 400
warning,n,R-hat 1.196 > 1.01
warning,n,bulk ESS 37.5 < 400
warning,n,tail ESS 24.2 < 400
warning,lambda_ez,R-hat 1.031 > 1.01
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,R-hat 1.039 > 1.01
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_e,R-hat 1.208 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 24.2 < 400
warning,sigma_u,R-hat 1.275 > 1.01
warning,sigma_u,bulk ESS 17.9 < 400
warning,sigma_u,tail ESS 20.4 < 400
warning,sigma_eps,R-hat 1.116 > 1.01
warning,sigma_eps,bulk ESS 20.2 < 400
warning,sigma_eps,tail ESS 24.2 < 400
warning,sigma_N,bulk ESS 9.2 < 400
warning,sigma_N,tail ESS 19.8 < 400
