parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.612574584986336,0.06316915005097341,0.4844765000879516,0.7309282335526145,0.00834962703778568,57.23687487253477,570.5394559267856,1.1702525411936906,R-hat > 1.01; bulk ESS < 400
kappa_0,0.07655548852776327,0.04734351228293651,-0.011378184522843709,0.17381192196604825,0.006776436256218501,48.81105931140073,103.55853476288964,1.0673346445008516,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
delta,0.018312380744689615,0.02022229662343651,-0.02627132635618266,0.052034101229142704,0.003811993505183626,28.14210951328855,185.61655148597166,1.2624164877042932,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_0,0.11979513542604851,0.18908225247521626,-0.20576324825060813,0.4939318388535386,0.03531152310667793,28.67270281583561,51.87471794705891,1.40082721953364,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
gamma,-0.005873539206777412,0.020401083683870835,-0.04433133364781093,0.03460463999953125,0.0010292566921897234,392.8792352043137,2053.0138028639512,1.033938517866509,R-hat > 1.01; bulk ESS < 400
kappa_t_mean,0.08508651961803773,0.04755955339486028,-0.003732602720009947,0.18194704068448112,0.00635056538426936,56.085520139644515,121.94813599222479,1.0074497750815044,bulk ESS < 400; tail ESS < 400
kappa_t_start,0.11803965029771675,0.06623308098169269,0.004683277565404192,0.2631449646798906,0.007016377661181287,89.10949881975598,777.1909184986489,1.1663368479308664,R-hat > 1.01; bulk ESS < 400
kappa_t_mid,0.101909597519486,0.057643224823681616,-0.006948621081511287,0.21408455078933375,0.00842242627981512,46.840562493560896,232.59514087638,0.9997747495641801,bulk ESS < 400; tail ESS < 400
kappa_t_end,0.02822303393251741,0.06116239560591273,-0.08216220396677427,0.15815134422791977,0.010364451884000654,34.82381087802392,58.61774871772284,1.4196172596466519,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mean,0.11674365314269326,0.18997704009261396,-0.20180628166891645,0.4984237185993088,0.03578609720342688,28.182113483311706,49.980704295253794,1.4277083542860847,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_start,0.10620548297630127,0.1986936952194815,-0.21075007669947665,0.5034229338644698,0.0373734178833426,28.26458020612346,62.447883464669076,1.5121227776756019,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_mid,0.11317661822689665,0.18912696520073144,-0.19785335580893648,0.4858618472685938,0.03534515042515179,28.631706856407824,56.44122895128384,1.4587567240109187,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
theta_t_end,0.13317224275926454,0.19821733286140772,-0.26041705613554234,0.5211471822933269,0.034897232832710665,32.26274192548088,56.41753187549459,1.278163161590111,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.949715485979247,0.02768860533789487,0.8944678944148919,1.0044461062200027,0.0004918041566939777,3169.6971698993198,3079.282231649766,0.999772124790997,
rho_1,0.9560869229686031,0.12282912576092572,0.7088492128671354,1.192714671462207,0.016816687960917977,53.3484480487124,246.92938804481926,1.0027683058915842,bulk ESS < 400; tail ESS < 400
rho_2,-0.03709675108333575,0.11340998650291642,-0.26712066422170355,0.18180204553103937,0.005103797834414335,493.7597345697514,2430.5835839728334,1.013048621696954,R-hat > 1.01
n,-0.02639682816491351,0.03110613911701023,-0.08666284012626324,0.034849851689452475,0.003783010872549593,67.61095042916648,342.633598805327,1.3142673750286509,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,0.022288200373686343,0.10539819259959643,-0.18796259325723308,0.22619662488016254,0.002751859702920099,1466.9447249194893,2789.6435210716036,0.9999973000655835,
rho,0.020529614059222618,0.09832996583643709,-0.17473095417716136,0.2110021935324138,0.002602089005784314,1427.997611580562,3200.0,0.9999463245844359,
sigma_e,0.632590803957346,0.044124137577853384,0.5499337902242979,0.7252780325220378,0.002311909007984249,364.25958275642114,964.8290361553152,1.030522290026726,R-hat > 1.01; bulk ESS < 400
sigma_zeta,0.5961748637581179,0.03721611548755458,0.5279073681994622,0.6745129610857206,0.0006735665307488795,3052.8191917494805,3042.4966071204913,0.9998503206530046,
sigma_u,0.27204047813874577,0.022010862904194003,0.23295921591001495,0.3172579120231164,0.0008062702490509388,745.2686757127757,1808.3746617375073,1.0018558421479697,
sigma_eps,0.27859128731336347,0.023138405738141698,0.23738789192109816,0.32688893124034696,0.000830908987485435,775.4609832853544,1927.7663258272737,1.0277016332525446,R-hat > 1.01
