severity,parameter,warning
warning,alpha,R-hat 1.306 > 1.01
warning,kappa_0,R-hat 1.382 > 1.01
warning,kappa_0,bulk ESS 29.1 < 400
warning,kappa_0,tail ESS 102.2 < 400
warning,delta,R-hat 1.521 > 1.01
warning,delta,bulk ESS 64.4 < 400
warning,delta,tail ESS 192.5 < 400
warning,theta_0,R-hat 1.086 > 1.01
warning,theta_0,bulk ESS 19.5 < 400
warning,theta_0,tail ESS 36.7 < 400
warning,gamma,R-hat 1.199 > 1.01
warning,gamma,bulk ESS 35.7 < 400
warning,gamma,tail ESS 86.9 < 400
warning,kappa_t_mean,R-hat 1.137 > 1.01
warning,kappa_t_mean,bulk ESS 52.5 < 400
warning,kappa_t_mean,tail ESS 78.3 < 400
warning,kappa_t_start,R-hat 1.013 > 1.01
warning,kappa_t_start,bulk ESS 125.8 < 400
warning,kappa_t_mid,bulk ESS 60.3 < 400
warning,kappa_t_mid,tail ESS 117.2 < 400
warning,kappa_t_end,R-hat 2.126 > 1.01
warning,kappa_t_end,bulk ESS 39.6 < 400
warning,kappa_t_end,tail ESS 68.0 < 400
warning,theta_t_mean,R-hat 1.235 > 1.01
warning,theta_t_mean,bulk ESS 17.6 < 400
warning,theta_t_mean,tail ESS 25.8 < 400
warning,theta_t_start,R-hat 1.719 > 1.01
warning,theta_t_start,bulk ESS 15.7 < 400
warning,theta_t_start,tail ESS 23.5 < 400
warning,theta_t_mid,R-hat 1.360 > 1.01
warning,theta_t_mid,bulk ESS 18.6 < 400
warning,theta_t_mid,tail ESS 26.2 < 400
warning,theta_t_end,bulk ESS 65.7 < 400
warning,theta_t_end,tail ESS 114.3 < 400
warning,rho_1,R-hat 1.123 > 1.01
warning,rho_1,bulk ESS 73.4 < 400
warning,rho_1,tail ESS 320.1 < 400
warning,rho_2,R-hat 1.073 > 1.01
warning,rho_2,bulk ESS 83.8 < 400
warning,rho_2,tail ESS 380.9 < 400
warning,n,R-hat 1.733 > 1.01
warning,n,bulk ESS 337.9 < 400
warning,lambda_ez,R-hat 1.060 > 1.01
warning,rho,R-hat 1.063 > 1.01
warning,sigma_e,R-hat 1.069 > 1.01
warning,sigma_u,R-hat 1.038 > 1.01
warning,sigma_eps,R-hat 1.015 > 1.01
