parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6813262762165628,0.05643833410759137,0.5703495444357318,0.7658617029782009,,,,,
kappa_0,0.10987415572798957,0.1758482567576315,-0.14492664051273044,0.47369780492230645,,,,,
delta,-0.0002508399337862207,0.0009052114351830174,-0.0021950011658224754,0.001211614089592767,,,,,
kappa_t_mean,0.05880147203414336,0.035654401848766414,-0.006297232964390215,0.11973810737407543,,,,,
kappa_t_start,0.058992678941902986,0.0355512449840915,-0.005374136444388325,0.12003256880258814,,,,,
kappa_t_mid,0.05836713447661466,0.03604335033679867,-0.006152176432946162,0.12178842754381496,,,,,
kappa_t_end,0.05872365596044758,0.035657500343644274,-0.006871412484786329,0.11750110189429702,,,,,
phi_1,0.917184240679315,0.035076762570136505,0.87149269042451,0.9723299761506143,,,,,
rho_1,1.8077151410716674,0.0349011249102467,1.7401151517803424,1.866042361324861,,,,,
rho_2,-0.8117457842694595,0.034697002317829004,-0.8693631729953334,-0.7418643655389016,,,,,
n,-0.02977754867356349,0.08247961270200516,-0.14817851366437587,0.14702429497401828,,,,,
lambda_ez,0.00495307464258111,0.10992471653469821,-0.24487729574974185,0.1387926467231186,,,,,
rho,0.004281717581877772,0.09334539672863493,-0.19243544128941367,0.11469611490715734,,,,,
sigma_eta,0.6576594835377297,0.03734182574595578,0.5950313118314583,0.7308624005950798,,,,,
sigma_e,0.6604682112554485,0.03691191733103646,0.5994015206225884,0.7322750669281047,,,,,
sigma_zeta,0.5725166747230734,0.038352802204072896,0.5166173198121952,0.6510312091095235,,,,,
sigma_u,0.518877858175772,0.05171935424342136,0.4329250263271909,0.6210410002383372,,,,,
sigma_eps,0.40803998035967215,0.03445085185070581,0.3342054080702399,0.46044597001345994,,,,,
sigma_N,0.3148916877482989,0.02641354075810384,0.27245729091794707,0.36302940333155675,,,,,
