parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6744368954789841,0.06031090759918985,0.5566625839515402,0.7893369170069344,,,,,
kappa_0,0.3115006383168318,0.4374487262903605,-0.3882988896694281,1.070057990556687,,,,,
delta,-0.0013103198917123527,0.0022639528792097107,-0.00539728489263916,0.002778227433574813,,,,,
kappa_t_mean,0.06084523589593936,0.04416679136263964,-0.026071919972822894,0.15231145228116494,,,,,
kappa_t_start,0.04493176013697371,0.052611531159247084,-0.04776976502601804,0.17370948579088685,,,,,
kappa_t_mid,0.061109513384462,0.0440772056597583,-0.024749038022904634,0.15283448579583744,,,,,
kappa_t_end,0.07704654191906321,0.05008446643803945,-0.0024533662055796447,0.1644999125171659,,,,,
phi_1,0.9200997294011316,0.031539417417572754,0.8757469474790652,0.9852056313075715,,,,,
rho_1,1.9130527833433564,0.038224382128188975,1.8480722806623646,1.9768425432169359,,,,,
rho_2,-0.9171759504667806,0.03851864873299013,-0.9796041715664023,-0.8540454449517723,,,,,
n,-0.15242229916395544,0.10283376367493814,-0.33658713972442195,0.007169289485479211,,,,,
lambda_ez,0.008756495449063132,0.08637738961704604,-0.13026059900178152,0.19751408230569895,,,,,
rho,0.008786224506219664,0.07779505099932016,-0.11311562432156422,0.19039813554036597,,,,,
sigma_eta,0.6524419334841773,0.03991152970048276,0.5977098179641014,0.7399094756165705,,,,,
sigma_e,0.6544022202245907,0.039804811102919356,0.5987255833752875,0.7423669570315152,,,,,
sigma_zeta,0.5774018747310582,0.03318318965348506,0.5283424132179562,0.6437659266576251,,,,,
sigma_u,0.4021014632679372,0.039837221493154315,0.3226724173371821,0.47557938391306165,,,,,
sigma_eps,0.29402716569259757,0.04506141448801591,0.23534516530263708,0.39803802532427235,,,,,
sigma_N,0.2335430018973975,0.021971615924829636,0.20190425676314808,0.28065423952729396,,,,,
