parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.640518302183561,0.05279943375363017,0.5359110254401636,0.7425624121610394,,,,,
kappa_0,0.10019935224439956,0.20044755793230523,-0.29406079472530144,0.4989262282656021,,,,,
delta,-0.0006783820164453365,0.0012419031991329971,-0.003099551599455286,0.0018093057398462526,,,,,
kappa_t_mean,-0.03504212951635053,0.14228487262921113,-0.3138124009448899,0.25474784544042806,,,,,
kappa_t_start,-0.037834439000322524,0.1455398548745816,-0.3204531655746183,0.25475975697362496,,,,,
kappa_t_mid,-0.035320822700909006,0.14248540437024168,-0.3164201208897712,0.25475208373195135,,,,,
kappa_t_end,-0.031636364603470246,0.1389830592656761,-0.30748246122091905,0.252408618280372,,,,,
phi_1,0.6633389182786954,0.06676157142757555,0.5302005903742053,0.7910353992668598,,,,,
rho_1,1.8250728782150254,0.05071847841188705,1.7183586829276736,1.9166871531029153,,,,,
rho_2,-0.8290402999527874,0.05076990913570759,-0.9206003167172548,-0.721860769670548,,,,,
n,-0.062488522047862566,0.07602974913334969,-0.20915742868116263,0.08865315627841708,,,,,
lambda_ez,0.023894273971238434,0.1799831315041059,-0.31988859667281894,0.37087507152957155,,,,,
rho,0.01744116517823617,0.13052329930368417,-0.2338101812153928,0.270657734673404,,,,,
sigma_eta,0.6714098139492374,0.042118869111473195,0.5934947445274932,0.7603316477315739,,,,,
sigma_e,0.6774388948407152,0.042916277244389726,0.5981367640030398,0.7664918989518633,,,,,
sigma_zeta,0.4994329441260809,0.03252695171504575,0.44258970859171426,0.5693286250218329,,,,,
sigma_u,0.49530710275820455,0.05215480352159389,0.4078013179585446,0.608885546160187,,,,,
sigma_eps,0.388234622703512,0.0423766981344884,0.31325884555447003,0.47879825614998806,,,,,
sigma_N,0.30742306947648124,0.028466498202431176,0.25641517292514765,0.3688020544604613,,,,,
