severity,parameter,warning
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 24.2 < 400
warning,kappa_0,R-hat 1.172 > 1.01
warning,kappa_0,bulk ESS 38.8 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,R-hat 1.062 > 1.01
warning,delta,bulk ESS 24.9 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.176 > 1.01
warning,kappa_t_mean,bulk ESS 38.7 < 400
warning,kappa_t_mean,tail ESS 24.2 < 400
warning,kappa_t_start,R-hat 1.169 > 1.01
warning,kappa_t_start,bulk ESS 39.8 < 400
warning,kappa_t_start,tail ESS 24.2 < 400
warning,kappa_t_mid,R-hat 1.089 > 1.01
warning,kappa_t_mid,bulk ESS 34.7 < 400
warning,kappa_t_mid,tail ESS 24.2 < 400
warning,kappa_t_end,R-hat 1.248 > 1.01
warning,kappa_t_end,bulk ESS 39.0 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,phi_1,R-hat 1.037 > 1.01
warning,phi_1,bulk ESS 32.7 < 400
warning,phi_1,tail ESS 23.3 < 400
warning,rho_1,bulk ESS 8.6 < 400
warning,rho_1,tail ESS 21.7 < 400
warning,rho_2,R-hat 1.049 > 1.01
warning,rho_2,bulk ESS 15.7 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,bulk ESS 36.3 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.074 > 1.01
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 23.3 < 400
warning,rho,R-hat 1.061 > 1.01
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 23.3 < 400
warning,sigma_eta,R-hat 1.209 > 1.01
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.198 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 24.2 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,bulk ESS 28.7 < 400
warning,sigma_u,tail ESS 23.3 < 400
warning,sigma_eps,bulk ESS 17.6 < 400
warning,sigma_eps,tail ESS 23.3 < 400
warning,sigma_N,R-hat 1.070 > 1.01
warning,sigma_N,bulk ESS 14.0 < 400
warning,sigma_N,tail ESS 40.0 < 400
