severity,parameter,warning
warning,alpha,R-hat 1.033 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.116 > 1.01
warning,kappa_0,bulk ESS 23.9 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,R-hat 1.166 > 1.01
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.111 > 1.01
warning,kappa_t_mean,bulk ESS 23.9 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,R-hat 1.128 > 1.01
warning,kappa_t_start,bulk ESS 23.2 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 25.7 < 400
warning,kappa_t_mid,tail ESS 24.2 < 400
warning,kappa_t_end,R-hat 1.257 > 1.01
warning,kappa_t_end,bulk ESS 26.0 < 400
warning,kappa_t_end,tail ESS 40.0 < 400
warning,phi_1,R-hat 1.102 > 1.01
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.157 > 1.01
warning,rho_1,bulk ESS 9.1 < 400
warning,rho_1,tail ESS 24.2 < 400
warning,rho_2,R-hat 1.053 > 1.01
warning,rho_2,bulk ESS 7.5 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,bulk ESS 25.2 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.057 > 1.01
warning,lambda_ez,bulk ESS 37.9 < 400
warning,lambda_ez,tail ESS 23.3 < 400
warning,rho,R-hat 1.046 > 1.01
warning,rho,bulk ESS 34.9 < 400
warning,rho,tail ESS 23.3 < 400
warning,sigma_eta,R-hat 1.105 > 1.01
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.102 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 24.2 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,bulk ESS 10.2 < 400
warning,sigma_u,tail ESS 40.0 < 400
warning,sigma_eps,bulk ESS 17.1 < 400
warning,sigma_eps,tail ESS 40.0 < 400
warning,sigma_N,bulk ESS 6.7 < 400
warning,sigma_N,tail ESS 24.2 < 400
