parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6563936379765227,0.05465828948921471,0.543908511829491,0.7433696605954505,0.00864223438973799,40.0,40.0,1.0327376012259584,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,-0.005700307993855566,0.09586468809537989,-0.18147386500966492,0.15920253467066894,0.019610518585429372,23.896768169329814,40.0,1.1156608575213656,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
delta,-0.0014500071131138248,0.020621589959614342,-0.0350614805405827,0.03443989491010795,0.003260559662322049,40.0,40.0,1.1655648298772918,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mean,-0.005769955928191765,0.09569791110470727,-0.18160135055314497,0.158328449571384,0.019581361864985308,23.884663639387934,40.0,1.110686819893985,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_start,-0.005309321319947774,0.09879461800027908,-0.20241341035956606,0.15894143276392794,0.02049669329406882,23.23266165037766,40.0,1.1280603181123714,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,-0.008572202388416222,0.0991464698691897,-0.17694688576317008,0.14996672646098957,0.019550337779243112,25.71852045906801,24.207628784899725,1.0062212839753326,bulk ESS < 400; tail ESS < 400
kappa_t_end,-0.0015753349885101243,0.11703901007646432,-0.21591314129594755,0.17862661358291237,0.02293399957077722,26.043639766828917,40.0,1.2574356508324727,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.6568147865013317,0.0542076158411567,0.5697564574831864,0.7772328691848446,0.008570976629273969,40.0,40.0,1.1019945561014273,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_1,0.4599894882241701,0.13240680169920493,0.2296614473289842,0.7598289971927638,0.04385044346967442,9.11743363547203,24.207628784899725,1.1573309778201093,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.3720388147453078,0.13017160188085836,-0.6048683240868163,-0.16939752753295959,0.04748220299124411,7.515723216832092,40.0,1.053272213632417,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
n,-0.015565421557061703,0.01903818580803332,-0.05460208256681682,0.013155607086433645,0.003792932178285049,25.194222936543387,40.0,1.0027298197130752,bulk ESS < 400; tail ESS < 400
lambda_ez,0.022489574772649328,0.16019011669948882,-0.2665759358980712,0.34301859984474115,0.026010716850578902,37.92859826303197,23.291713961407492,1.0570071582985572,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho,0.014471172875898525,0.11894882006314543,-0.237903006981447,0.24000154375763627,0.02014371826565555,34.869120977855346,23.291713961407492,1.045594907409273,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eta,0.6697172132060641,0.041898029543760075,0.5942280142063239,0.7582631226442099,0.006624660141565362,40.0,24.207628784899725,1.1053899447336466,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_e,0.6745609663509128,0.04279820077895866,0.5991822669457717,0.7611381107505668,0.006766989710935095,40.0,24.207628784899725,1.1024851037869523,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_zeta,0.5035178725289335,0.03454573572320034,0.44111323828148596,0.555308341724152,0.005462160416577858,40.0,40.0,0.9764933726866862,bulk ESS < 400; tail ESS < 400
sigma_u,0.08826738716677743,0.014391284470419919,0.06925041796407595,0.11576674397344021,0.004504840823221607,10.205639323039739,40.0,0.9747198037340203,bulk ESS < 400; tail ESS < 400
sigma_eps,0.20793679449548338,0.02689708209170675,0.17778203441896648,0.28716446540965324,0.006501727542870905,17.114050311239478,40.0,0.9875415509951989,bulk ESS < 400; tail ESS < 400
sigma_N,0.07705679156696535,0.02406531622284138,0.04190726343243518,0.12178106587662614,0.009300252513642622,6.695664199242234,24.207628784899725,0.9903306494289977,bulk ESS < 400; tail ESS < 400
