severity,parameter,warning
warning,rho_1,R-hat 1.536 > 1.01
warning,rho_1,bulk ESS 8.9 < 400
warning,rho_2,R-hat 1.065 > 1.01
warning,rho_2,bulk ESS 110.3 < 400
warning,n,R-hat 1.395 > 1.01
warning,n,bulk ESS 12.8 < 400
warning,n,tail ESS 257.2 < 400
warning,sigma_u,R-hat 1.319 > 1.01
warning,sigma_u,bulk ESS 16.2 < 400
warning,sigma_u,tail ESS 372.4 < 400
warning,sigma_eps,R-hat 1.539 > 1.01
warning,sigma_eps,bulk ESS 8.6 < 400
warning,sigma_N,R-hat 1.171 > 1.01
warning,sigma_N,bulk ESS 32.3 < 400
