parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6125723125319691,0.04837738875547896,0.5162284109935912,0.7064334436573713,0.000855199491127425,3200.0,3162.819111574985,1.0010661402885157,
kappa_0,0.05922408867734618,0.08249105847274789,-0.10171070232396145,0.22229645934889838,0.001458249670833401,3200.0,3200.0,1.000040540369231,
delta,-0.0006170589501592529,0.009545328552580874,-0.019456114112110654,0.018248945478890652,0.0001687391637045877,3200.0,2826.732655139619,1.0004092668615991,
kappa_t_mean,0.05902624254105464,0.08243578502972239,-0.10157350621584281,0.22174924432265739,0.0014572725651738295,3200.0,3200.0,1.0000592515354851,
kappa_t_start,0.058265134773422315,0.08620403008917288,-0.11062576677284625,0.229091121030556,0.001523886356041583,3200.0,2192.025783357211,1.000160741672892,
kappa_t_mid,0.05838902670424554,0.08336679970326065,-0.104031467081518,0.22241298222295094,0.0014737307348999065,3200.0,3200.0,0.9998609472141075,
kappa_t_end,0.060852370320673345,0.08692831174504546,-0.11104455668515285,0.23441044024011196,0.0015419662636247853,3178.1379658263572,3200.0,1.000337016984244,
phi_1,0.6757272928111928,0.05831107277770309,0.5635167936536017,0.7908991976315811,0.0010308038744844036,3200.0,3164.113341903143,1.001430587106143,
rho_1,1.0054705482296935,0.32863308185519285,0.4463556034664951,1.385979342407024,0.11014341201058829,8.902367271812688,1507.864925886591,1.5355444157568763,R-hat > 1.01; bulk ESS < 400
rho_2,-0.30673406873629283,0.09000205582134113,-0.4940023015095306,-0.1389035780789614,0.008571261026113415,110.2593472463363,838.7974282681588,1.065325420780676,R-hat > 1.01; bulk ESS < 400
n,-0.040106063764953175,0.01906521734077086,-0.06870431159443063,-0.0016391170390199488,0.005322759445433025,12.829503290756614,257.1772020976414,1.3947044938632331,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
lambda_ez,-0.058857018436982364,0.14345933229395938,-0.33854173870453336,0.22040649765380008,0.002539287857582472,3191.7858010869,3200.0,1.000657998124796,
rho,-0.04237201084928191,0.10330195798583486,-0.23915190874575273,0.16251941727301042,0.0018310654741169573,3182.8000690019344,3200.0,1.0007140013858493,
sigma_eta,0.6832252706059905,0.042841305444634464,0.6063760614325482,0.774071285795462,0.0007573344398696297,3200.0,3200.0,0.9997055145986381,
sigma_e,0.687592525006205,0.043386495396021796,0.6085517718084766,0.7808982957885937,0.0007669721276611484,3200.0,3200.0,0.9997326281039797,
sigma_zeta,0.499433399249965,0.032796805559001205,0.44187879936794244,0.5708821045169666,0.0005797710903006603,3200.0,2746.465575587406,0.9997346314261939,
sigma_u,0.07474482826105482,0.011665695550947437,0.05335247546567083,0.09540592359232493,0.0029011364772553705,16.169066860727874,372.35714444871815,1.3188539081554043,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.08185165428650248,0.03468228053703334,0.04364048123723618,0.13960168404940831,0.01181003437727538,8.624083843459324,919.0657592575142,1.538887857147283,R-hat > 1.01; bulk ESS < 400
sigma_N,0.043573907505323445,0.005796265728201658,0.034225791154461636,0.056370171560163426,0.0010199786792311418,32.293445751897366,585.0986003266504,1.1707576112049667,R-hat > 1.01; bulk ESS < 400
