parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6458009291074946,0.0558658641600922,0.5431699858574964,0.7533646134887291,,,,,
kappa_0,0.2063437157982572,0.5645571167309351,-0.7736274428606137,1.3391613994257139,,,,,
delta,-0.0009140924760117471,0.002924976379178118,-0.006598222900901659,0.004077090282612756,,,,,
kappa_t_mean,0.0315224215808617,0.1734302124407543,-0.32275620200343824,0.33494344284560085,,,,,
kappa_t_start,0.02171233694684862,0.18621439405974552,-0.3655882147491928,0.3361960466993399,,,,,
kappa_t_mid,0.03155880219900527,0.17353557035507158,-0.32351350545482854,0.33533516995446133,,,,,
kappa_t_end,0.04108264167102719,0.1698137954651716,-0.2718633330155279,0.3331103514282003,,,,,
phi_1,0.6587462900347132,0.06614575243566262,0.547669467595036,0.7848662789005768,,,,,
rho_1,1.9068555561890776,0.0397252512328384,1.832773713177907,1.9712890823573925,,,,,
rho_2,-0.9096140321678667,0.039426913604143965,-0.9730051593600154,-0.8367018236592008,,,,,
n,-0.19619762974982088,0.0957905310662256,-0.34448484319513917,-0.015603896700009869,,,,,
lambda_ez,-0.034945443968026936,0.23428163458774534,-0.5063549974605845,0.3567242877386732,,,,,
rho,-0.02411701268704284,0.170996179541642,-0.366699442574321,0.25530187784610286,,,,,
sigma_eta,0.6667905795988853,0.047892045021430144,0.5991119799818377,0.7576257751229247,,,,,
sigma_e,0.6770669173284729,0.050668766992168504,0.6028651094735167,0.7878485415530057,,,,,
sigma_zeta,0.5022142451440007,0.027513108597892157,0.4479515544144129,0.5508582199265049,,,,,
sigma_u,0.4182697791293265,0.03456823461441304,0.35210941200345897,0.48266137641593526,,,,,
sigma_eps,0.30402063167191506,0.03336932801681113,0.24088238570654502,0.36252199958390074,,,,,
sigma_N,0.22680441751086686,0.021411191761719985,0.19574618782370984,0.2747070528900908,,,,,
