severity,parameter,warning
warning,alpha,bulk ESS 39.3 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,bulk ESS 26.0 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,bulk ESS 24.1 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,bulk ESS 31.8 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 22.9 < 400
warning,kappa_t_mid,tail ESS 24.2 < 400
warning,kappa_t_end,R-hat 1.036 > 1.01
warning,kappa_t_end,bulk ESS 25.3 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.122 > 1.01
warning,rho_1,bulk ESS 7.0 < 400
warning,rho_1,tail ESS 21.7 < 400
warning,rho_2,R-hat 1.105 > 1.01
warning,rho_2,bulk ESS 10.3 < 400
warning,rho_2,tail ESS 40.0 < 400
warning,n,bulk ESS 40.0 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.031 > 1.01
warning,lambda_ez,bulk ESS 26.8 < 400
warning,lambda_ez,tail ESS 24.2 < 400
warning,rho,R-hat 1.029 > 1.01
warning,rho,bulk ESS 28.1 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 22.5 < 400
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 40.0 < 400
warning,sigma_zeta,R-hat 1.047 > 1.01
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,bulk ESS 40.0 < 400
warning,sigma_u,tail ESS 40.0 < 400
warning,sigma_eps,bulk ESS 12.4 < 400
warning,sigma_eps,tail ESS 40.0 < 400
warning,sigma_N,bulk ESS 8.4 < 400
warning,sigma_N,tail ESS 19.8 < 400
