parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6242890278209952,0.04277550636000798,0.5482472862490644,0.6812525820819032,0.008055936983350179,28.194097536127337,40.0,1.0671924911630102,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_0,0.08238693983492824,0.04490561143314893,0.019304527244165693,0.16650336256813653,0.007100200592562431,40.0,40.0,0.9833012972911234,bulk ESS < 400; tail ESS < 400
delta,0.005260064445592002,0.013640725819123518,-0.027231968448868767,0.028428923928930604,0.002156788126314816,40.0,40.0,1.276161674543431,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mean,0.08385522278732364,0.0439378726672917,0.01917074127932689,0.15293620125615845,0.006947187658554968,40.0,40.0,1.0024664475275724,bulk ESS < 400; tail ESS < 400
kappa_t_start,0.09887704276734609,0.06385870025706172,0.009631729114206749,0.2177678854786582,0.010891709109145267,34.375425459352805,40.0,1.1994189166715215,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
kappa_t_mid,0.08403409961634142,0.043982593159317546,0.019360813526181124,0.15563982015503774,0.006954258589199222,40.0,40.0,1.0041987390908227,bulk ESS < 400; tail ESS < 400
kappa_t_end,0.06846668614598048,0.05702513543408699,0.008041035313066712,0.2233518578798611,0.009016465592564478,40.0,40.0,1.0377166300306437,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
phi_1,0.638851469317853,0.06573585462707049,0.5065904117896325,0.7519695655692636,0.01039375122796306,40.0,40.0,0.977401540025361,bulk ESS < 400; tail ESS < 400
rho_1,1.8112715179086476,0.04375960186832635,1.7327730701262614,1.8831840037522347,0.006919000570303544,40.0,40.0,0.9824913594708211,bulk ESS < 400; tail ESS < 400
rho_2,-0.8241942521980061,0.04247664754209658,-0.8912451675246951,-0.7479983361953467,0.006716147680060906,40.0,40.0,0.9810480132828213,bulk ESS < 400; tail ESS < 400
n,-0.048263726764138405,0.006405689978209865,-0.05882388515405461,-0.03793007140540208,0.0018829532625369955,11.57318115189973,24.207628784899722,0.9749389194275544,bulk ESS < 400; tail ESS < 400
lambda_ez,-0.08223397770704291,0.07933098752523633,-0.21001716423875208,0.05827918141397576,0.012543330480507561,40.0,40.0,0.975120952706853,bulk ESS < 400; tail ESS < 400
rho,-0.10361635977321407,0.09964730774987862,-0.26108518931153557,0.07271772754411829,0.015755622759668228,40.0,40.0,0.9755108687178877,bulk ESS < 400; tail ESS < 400
sigma_eta,0.6739693987960791,0.04306793329160914,0.6034765414311862,0.7574825578016263,0.00680963816588388,40.0,40.0,0.9756263306156882,bulk ESS < 400; tail ESS < 400
sigma_e,0.6810307077325565,0.0430384933656559,0.6040030799233593,0.7616846204731836,0.006804983304875932,40.0,40.0,0.9780602280178902,bulk ESS < 400; tail ESS < 400
sigma_zeta,0.8669638934517808,0.04902293135705862,0.7916247547460521,0.9449458665111209,0.0077512060333197194,40.0,24.207628784899725,1.0190255452279302,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_u,0.043882109659317256,0.004214912153910007,0.03819219722171918,0.05374726202318123,0.0009404729744716106,20.085581748751427,20.431463657484233,0.9747158370053223,bulk ESS < 400; tail ESS < 400
sigma_eps,0.02936036778688923,0.002975949151991124,0.024652532037407745,0.03584919298532455,0.0006642989347872766,20.06891533492352,40.0,0.9835812899766462,bulk ESS < 400; tail ESS < 400
sigma_N,0.023826364201243778,0.0023297286488729346,0.020276044334093024,0.02912773432247995,0.0005769125222116517,16.307626242070025,22.524698133918772,0.9784119742959435,bulk ESS < 400; tail ESS < 400
