parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6095420869933648,0.04920272971501413,0.5105404584251594,0.704093518224253,0.0008708686385037091,3192.07504520666,3169.1304816654915,1.0003989288323343,
kappa_0,0.032900265252141764,0.06702133044740517,-0.09939629784531658,0.1685608431790567,0.0012472988922689,2887.254163802753,2186.6618230734034,1.0001062042395683,
delta,0.004056031566289554,0.009265001785970065,-0.014224322538801147,0.022681417655026667,0.00016378363976412267,3200.0,2910.5783853482667,1.0060792592586059,
kappa_t_mean,0.03424646869951158,0.0669064711113389,-0.09424312755533654,0.1692885071736466,0.001245269957784094,2886.7503475000667,2529.579302135409,0.9997070812885824,
kappa_t_start,0.03962397586324371,0.07097412437962106,-0.0974141446863695,0.18123961496055593,0.0013205841635311887,2888.470368846951,3095.363048310522,1.0044595537978611,
kappa_t_mid,0.03840715589182164,0.067965228455397,-0.09048089138751976,0.1724911567537149,0.0012628441448712781,2896.503463422446,3040.080907664399,1.0023330476855534,
kappa_t_end,0.021945768389855066,0.07238577770972823,-0.11397687937600384,0.1701230087475502,0.0013326725880939653,2950.2550341696992,3200.0,0.9997602860017305,
phi_1,0.652017889108839,0.058660495139572756,0.5386162841640779,0.7691531895383543,0.00103698084752381,3200.0,2646.4342760163668,1.0012993108988741,
rho_1,0.9576429164313649,0.33717492694446255,0.4295510318985132,1.3791684982838872,0.07264229311400902,21.54425365988213,2264.8819915116,2.521664818180919,R-hat > 1.01; bulk ESS < 400
rho_2,-0.3102503471189236,0.09164310794321419,-0.4989663472865621,-0.13707786862686647,0.002986878908531225,941.37874024553,1850.7551096828345,1.1199153182606931,R-hat > 1.01
n,-0.03783037932058381,0.019550807014905715,-0.06807412187600252,-0.002490744953717212,0.0028162069209837926,48.194808033626494,1815.0512151201879,1.9765096721197462,R-hat > 1.01; bulk ESS < 400
lambda_ez,-0.018970006233666428,0.0943668873294898,-0.2050630759673293,0.16696777476096297,0.001726362022400214,2987.9650498241203,2999.8843584569227,1.000594584282397,
rho,-0.02314002044798908,0.11724809896242744,-0.25062240713778944,0.20943068432969966,0.002145758374063503,2985.7262582719877,2893.242112134506,1.000583629205026,
sigma_eta,0.6834144255247813,0.04314537921046402,0.6057793159204153,0.7759898385623727,0.0007627097554146049,3200.0,3200.0,0.9999418739064285,
sigma_e,0.6884589405247838,0.04409606538950789,0.6083208101473971,0.7811900322180443,0.0007795156715141612,3200.0,3200.0,0.9999840245715198,
sigma_zeta,0.8668817497913028,0.05690898359792739,0.7681415917648611,0.9914799133153334,0.0010060182053132115,3200.0,2820.4065936643287,0.999953160411395,
sigma_u,0.07329096158830763,0.011902703026515481,0.05340156481434737,0.09547579537882227,0.0014730465774269058,65.29173922304813,1883.6367193647677,1.760222168998629,R-hat > 1.01; bulk ESS < 400
sigma_eps,0.08696962785462689,0.03593491684215041,0.04401593742242409,0.14197886573858634,0.007772017137929404,21.377936818458583,2224.2714021811603,2.592758013925482,R-hat > 1.01; bulk ESS < 400
sigma_N,0.04412107187166825,0.005951996329172715,0.03457578749608146,0.05703356744940516,0.00047544789760437835,156.71820427721389,1443.7350395823403,1.3491129508187112,R-hat > 1.01; bulk ESS < 400
