parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6613955250183409,0.06034813664686958,0.5412607882061662,0.7774184339766869,0.001066814416374347,3200.0,3040.498165245665,0.9997002138811345,
kappa_0,0.06412740887851318,0.04446238770989536,-0.024625004552568896,0.14905869106376646,0.0008019695854908459,3073.758669017953,2981.325888683459,1.000179511383042,
delta,-0.012782430270021823,0.014365444253596508,-0.04113243369735638,0.01613427865439082,0.0002745914959739117,2736.9316768430367,2849.180282611275,0.9997326558640429,
kappa_t_mean,0.06027306881894246,0.04333965964344296,-0.026371313941579124,0.143685667195742,0.0007676929218478004,3187.1016849678585,3114.60081733996,1.0001616011292658,
kappa_t_start,0.024916406807316084,0.0576384550009759,-0.0896269868872591,0.1389052540188419,0.0010422467515799074,3058.324484505861,2863.350287363586,0.9997598155042137,
kappa_t_mid,0.06007144727891301,0.043370757371352896,-0.027061203048048713,0.1429995450165949,0.0007691832221294687,3179.321208863162,3155.0321165941714,1.0001893919357716,
kappa_t_end,0.09644160127350601,0.05950730870297269,-0.020952019279901344,0.2105002919943322,0.0011788641713892615,2548.0801292984975,2879.202752693312,1.0002724853674136,
phi_1,0.9152898070404396,0.03284737320645899,0.8521262761778241,0.9826704233245828,0.0005806650084613115,3200.0,2907.575598459317,1.0005856030312448,
rho_1,1.8050895343937572,0.04784235667749657,1.7064203783043004,1.8947032195690245,0.001043562044990406,2101.7864058343885,2442.6016698472204,0.9997505232616237,
rho_2,-0.8185548838635003,0.04620163783259194,-0.9024691476893945,-0.7234021975054158,0.000990566975965261,2175.4397137749265,2853.0299299749727,0.9997383955649131,
n,-0.04478772106377125,0.010160785347003595,-0.06305631468914048,-0.022046725157148846,0.00046853319212045917,470.29875351079556,505.6074386058713,1.0006767605104483,
lambda_ez,0.002498840209924623,0.11860164118687258,-0.2257381425869398,0.23317395948341518,0.0021649880636745128,3001.030332000736,3120.8637285798627,0.9998937210473495,
rho,0.002011929936566717,0.10171348450210116,-0.19225086650806056,0.1957945487545695,0.0018583219238916477,2995.8161942774286,3200.0,0.9998882066664478,
sigma_eta,0.6639345850346763,0.04196986781642089,0.5887356187177766,0.7515688848332571,0.0007419294534623562,3200.0,2653.025581059546,0.9998030707868949,
sigma_e,0.6674480563322994,0.0424568223010681,0.5906003837673256,0.7568552938461206,0.0007505376739179373,3200.0,2646.0958002805355,0.9997805914257506,
sigma_zeta,0.579143287265148,0.03720975210881923,0.5116950862332404,0.6598332628293364,0.0006741336645086102,3046.6426890846396,3200.0,1.0000074864338324,
sigma_u,0.04462135057143504,0.004210362184099547,0.037183738123014065,0.05358369130373684,8.449437147237507e-05,2483.0379273654344,2353.4161648458717,1.0003522140682792,
sigma_eps,0.029394173349807942,0.003455003656608235,0.023716108263457283,0.03691490206006559,7.335432813585783e-05,2218.429007682042,2699.5816407394223,1.0005864644727391,
sigma_N,0.02311334089216805,0.002268369565666021,0.019168423644323314,0.02822596086429683,4.622471087467061e-05,2408.126055689419,2876.1747476644146,0.9998991482503243,
