parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.6577310593401766,0.06092995908945437,0.5378244493800529,0.7759801890006858,0.0010770996812393026,3200.0,3200.0,0.9998935130065313,
kappa_0,0.05478803139804336,0.04340947285071306,-0.03287075282582857,0.13818395477294684,0.0007673783155118134,3200.0,3200.0,0.9997083067518193,
delta,-0.018642176715978613,0.015992781778993617,-0.05107123275017755,0.012493013894584638,0.0003136682544223071,2599.6021565277706,2882.70818675826,1.0002648090407713,
kappa_t_mean,0.0504217012682064,0.0435328328039554,-0.037848591433104144,0.13446791118555124,0.0007695590319984262,3200.0,3159.1857812431977,0.9996907095016849,
kappa_t_start,0.029968300439844758,0.051160404738693425,-0.07252229234739571,0.12807677392987385,0.0010688267814942438,2291.148762500997,2964.9237764001823,1.0007270297777053,
kappa_t_mid,0.0223652208823992,0.05515031523160133,-0.08943271513289015,0.12663259571855282,0.0014636439025107223,1419.7933661785648,3043.7914141345614,1.0010298299191094,
kappa_t_end,0.1032044363401407,0.05749501847554613,-0.011758012865996596,0.21232751844873307,0.0010792328846550591,2838.115697453498,3200.0,0.9999894614234339,
phi_1,0.9152272286334757,0.03344322455743295,0.8501706513976316,0.9812406730666707,0.0005911982717326327,3200.0,2589.342040142869,1.0012497543292138,
rho_1,0.28101271341544004,0.0961098302795185,0.09464553300347428,0.4466856154297931,0.009394387634662967,104.66432289077046,244.04425552762424,1.0187178395117256,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
rho_2,-0.8482071223498628,0.12028935243431922,-0.9651833864729034,-0.4298811804763141,0.013836910870163236,75.5746399668079,76.234046289456,1.0066295873690285,bulk ESS < 400; tail ESS < 400
n,-0.03205574357462555,0.015974262390675096,-0.061772702634402904,0.0009044206687240908,0.0006710567733093767,566.6607069200841,1252.3567894661594,1.0080195665008382,
lambda_ez,0.0017675758610599377,0.11587328225443858,-0.2217374614766043,0.22816725862450696,0.002048369591011409,3200.0,3081.3635639167464,0.9997763831016033,
rho,0.0015377899756384367,0.10007790181787528,-0.19232208210215587,0.1959733811371947,0.001769144075558528,3200.0,2967.547260124133,0.9997831341768322,
sigma_eta,0.6599296564381493,0.04214769564238252,0.5846900254840967,0.7479787349184096,0.0007450730350028844,3200.0,2970.3567334635995,1.0006809319689587,
sigma_e,0.663314296395667,0.0426819346618742,0.586388686019395,0.7520651977643857,0.0007545171358393099,3200.0,3200.0,1.0008057524670397,
sigma_zeta,0.5789946378556109,0.03702687058718263,0.5139748049960244,0.6590687515649978,0.0006746811596363737,3011.8743569839016,3200.0,0.9997228685075126,
sigma_u,0.10500861742293141,0.04072796129507329,0.05423826490153568,0.2096299508977403,0.004761777386968605,73.155530841964,148.5908625726111,1.0438824909193485,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_eps,0.14830557196967845,0.03599890844061186,0.06599912891368145,0.2177241031252435,0.0033688128288548217,114.18916574217427,100.40515549403372,1.018583236399288,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
sigma_N,0.06962043519848417,0.021610297143945946,0.04016903882538384,0.12324667333874989,0.0005581204306154063,1499.220927156895,2093.144303139625,1.00067698267058,
