parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
alpha,0.635411577410317,0.06439075117275643,0.5449079823622188,0.773801558735725,,,,,
kappa_0,0.13855283238680402,0.10668583728778301,-0.09292488195267955,0.3230335042771998,,,,,
delta,-0.0005235499789184595,0.0006820412884710625,-0.0019740789096760456,0.000895763162148828,,,,,
kappa_t_mean,0.031016330436147627,0.04902256009743799,-0.05607944026276872,0.10531802154553528,,,,,
kappa_t_start,0.03215476604408474,0.04801790792485179,-0.05446511427309753,0.10549556880117109,,,,,
kappa_t_mid,0.022234052773860553,0.05833465917671086,-0.08458817641416648,0.1115970460504585,,,,,
kappa_t_end,0.045117667530834446,0.0367641142047482,-0.02527753378993168,0.11275423808954618,,,,,
phi_1,0.8994879145793678,0.02819208648607538,0.8447456467480402,0.9391532191693369,,,,,
rho_1,0.5634895993823372,0.1054155674660811,0.3514906620122842,0.7331365877716233,,,,,
rho_2,-0.3715953030297884,0.11394509992867247,-0.5633954040632169,-0.16177478270960427,,,,,
n,-0.019664403028532465,0.0443818366389172,-0.09689983052730139,0.05496098340032216,,,,,
lambda_ez,-0.00938676218062186,0.10355769238340812,-0.20542251356642358,0.11698572951114176,,,,,
rho,-0.009401126054081152,0.08725902378191616,-0.1902115969651278,0.09778283831678242,,,,,
sigma_eta,0.6660484663402609,0.03790744199999612,0.6154562188118398,0.7462496480518651,,,,,
sigma_e,0.6685924942973711,0.03806024472881841,0.6190981171905716,0.7473140424686756,,,,,
sigma_zeta,0.5663701021568354,0.034150877277110026,0.5151184418648702,0.6292379951556326,,,,,
sigma_u,0.5522284359273865,0.047794341880674426,0.48029501558271576,0.6443324185813497,,,,,
sigma_eps,1.256333359211832,0.0930454788212707,1.1291677849865744,1.4279572397164617,,,,,
sigma_N,0.539292423291916,0.06016575415739609,0.44106386515760976,0.6387532942748825,,,,,
